county,year,visitor_days,source_report_year
Hawaii County,1999,8298758.497110555,2000
Hawaii County,2000,7990225.0,2001
Hawaii County,2001,7688456.617113169,2002
Hawaii County,2002,8130989.300065612,2002
Hawaii County,2003,8005790.379679573,2004
Hawaii County,2004,8555751.90265381,2005
Hawaii County,2005,10135365.806886656,2006
Hawaii County,2006,10223937.280971648,2006
Hawaii County,2007,10180353.855225522,2008
Hawaii County,2008,9092338.24542081,2009
Hawaii County,2009,8469605.947713213,2010
Hawaii County,2010,9102155.562204573,2010
Hawaii County,2011,9690668.336203735,2012
Hawaii County,2012,10452516.168931896,2013
Hawaii County,2013,10678170.80723672,2014
Hawaii County,2014,10952957.542876057,2014
Hawaii County,2015,11463839.790541451,2016
Hawaii County,2016,11655214.906473614,2017
Hawaii County,2017,12925529.567384508,2017
Hawaii County,2018,12783659.89809301,2019
Hawaii County,2019,12978052.44660661,2020
Hawaii County,2020,4992542.220670272,2021
Hawaii County,2021,10964868.85,2022
Hawaii County,2022,13760976.242995644,2023
Hawaii County,2023,14017863.00264257,2024
Hawaii County,2024,13446846.802790938,2024
Honolulu County,1999,29016511.42839636,2000
Honolulu County,2000,31077256.0,2001
Honolulu County,2001,29091282.358425267,2002
Honolulu County,2002,29974192.943330273,2002
Honolulu County,2003,28023305.113095865,2004
Honolulu County,2004,30640703.904301092,2005
Honolulu County,2005,32699640.724425793,2006
Honolulu County,2006,32102887.6337355,2006
Honolulu County,2007,32153399.94955252,2008
Honolulu County,2008,29920872.760294337,2009
Honolulu County,2009,29318351.00501158,2010
Honolulu County,2010,31918530.052283406,2010
Honolulu County,2011,32477384.762103442,2012
Honolulu County,2012,35864091.850903325,2013
Honolulu County,2013,35059623.029717974,2014
Honolulu County,2014,35044666.88534428,2014
Honolulu County,2015,36420503.276894495,2016
Honolulu County,2016,36968064.42887909,2017
Honolulu County,2017,38376360.600191996,2017
Honolulu County,2018,40478710.38879166,2019
Honolulu County,2019,41827689.0095711,2020
Honolulu County,2020,12829630.232710356,2021
Honolulu County,2021,26898074.61,2022
Honolulu County,2022,36168744.72453315,2023
Honolulu County,2023,40511989.35568631,2024
Honolulu County,2024,40850179.54713711,2024
Kauai County,1999,6647963.036871241,2000
Kauai County,2000,6603048.0,2001
Kauai County,2001,6142902.506443614,2002
Kauai County,2002,6362682.393491051,2002
Kauai County,2003,6507319.631029185,2004
Kauai County,2004,6906206.2691151155,2005
Kauai County,2005,7181289.804323074,2006
Kauai County,2006,7662789.514089459,2006
Kauai County,2007,8105509.174563288,2008
Kauai County,2008,7266910.534822512,2009
Kauai County,2009,6821901.0975498585,2010
Kauai County,2010,7196459.112421504,2010
Kauai County,2011,7597107.235142119,2012
Kauai County,2012,8168533.334491893,2013
Kauai County,2013,8516937.663120154,2014
Kauai County,2014,8610145.720288007,2014
Kauai County,2015,8954641.406251017,2016
Kauai County,2016,9092350.662263032,2017
Kauai County,2017,9622709.044879138,2017
Kauai County,2018,10388951.739351828,2019
Kauai County,2019,10108788.393297834,2020
Kauai County,2020,2940353.5678326986,2021
Kauai County,2021,7005805.4,2022
Kauai County,2022,10440522.445553608,2023
Kauai County,2023,10585553.108024796,2024
Kauai County,2024,10377258.286958408,2024
Maui County,1999,16057003.843862893,2000
Maui County,2000,16050621.0,2001
Maui County,2001,14837600.961725116,2002
Maui County,2002,15600755.85188355,2002
Maui County,2003,16246284.091817385,2004
Maui County,2004,16659327.112897953,2005
Maui County,2005,17671182.56476088,2006
Maui County,2006,18487581.614125777,2006
Maui County,2007,18696047.24436267,2008
Maui County,2008,16850011.3629241,2009
Maui County,2009,15645203.00588437,2010
Maui County,2010,17380932.92490305,2010
Maui County,2011,18060710.848954163,2012
Maui County,2012,19178761.83531186,2013
Maui County,2013,19795040.435471263,2014
Maui County,2014,20375144.352970112,2014
Maui County,2015,21247096.488435365,2016
Maui County,2016,21953505.46979826,2017
Maui County,2017,22581899.092332177,2017
Maui County,2018,24073277.314329904,2019
Maui County,2019,24777892.086913317,2020
Maui County,2020,7754271.107256318,2021
Maui County,2021,20443525.05,2022
Maui County,2022,24365943.559872873,2023
Maui County,2023,20558720.074079636,2024
Maui County,2024,19048903.213027358,2024
State,1999,60020236.80624105,2000
State,2000,61721150.0,2001
State,2001,57760242.44370861,2002
State,2002,60068620.48877384,2002
State,2003,58782699.21561432,2004
State,2004,62761989.18896615,2005
State,2005,67687478.90039678,2006
State,2006,68477196.04292701,2006
State,2007,69135310.223704,2008
State,2008,63130132.90346176,2009
State,2009,60255060.50146967,2010
State,2010,65598077.69565369,2010
State,2011,67825871.18240346,2012
State,2012,73663903.18963897,2013
State,2013,74049771.93541364,2014
State,2014,74982914.5018415,2014
State,2015,78086080.96241492,2016
State,2016,79669135.46774837,2017
State,2017,83506498.30438067,2017
State,2018,87724599.34219511,2019
State,2019,89692421.93712501,2020
State,2020,28516797.128282517,2021
State,2021,65312273.91,2022
State,2022,84736186.97295377,2023
State,2023,85674125.54066591,2024
State,2024,83723187.84927675,2024
