county,year,annual_change_pct,hpi,hpi_1990_base,hpi_2000_base
Hawaii County,1977,,100.0,44.09,41.43
Hawaii County,1978,4.75,104.75,46.18,43.39
Hawaii County,1979,4.68,109.65,48.34,45.42
Hawaii County,1980,28.02,140.37,61.88,58.15
Hawaii County,1981,0.2,140.65,62.01,58.26
Hawaii County,1982,6.5,149.79,66.04,62.05
Hawaii County,1983,-1.44,147.64,65.09,61.16
Hawaii County,1984,0.66,148.62,65.52,61.57
Hawaii County,1985,-4.2,142.38,62.77,58.98
Hawaii County,1986,3.9,147.94,65.22,61.29
Hawaii County,1987,0.73,149.02,65.7,61.73
Hawaii County,1988,11.22,165.74,73.07,68.66
Hawaii County,1989,14.01,188.97,83.31,78.28
Hawaii County,1990,20.04,226.83,100.0,93.97
Hawaii County,1991,16.67,264.66,116.67,109.64
Hawaii County,1992,0.84,266.87,117.65,110.55
Hawaii County,1993,-0.2,266.33,117.41,110.33
Hawaii County,1994,-3.88,255.99,112.85,106.04
Hawaii County,1995,-2.98,248.35,109.48,102.88
Hawaii County,1996,-1.35,244.99,108.01,101.49
Hawaii County,1997,-7.41,226.85,100.01,93.97
Hawaii County,1998,4.14,236.24,104.15,97.87
Hawaii County,1999,-1.51,232.67,102.57,96.38
Hawaii County,2000,3.75,241.4,106.42,100.0
Hawaii County,2001,7.78,260.17,114.69,107.78
Hawaii County,2002,6.59,277.31,122.25,114.88
Hawaii County,2003,9.43,303.47,133.79,125.71
Hawaii County,2004,25.26,380.12,167.58,157.47
Hawaii County,2005,34.19,510.08,224.87,211.3
Hawaii County,2006,11.41,568.28,250.53,235.42
Hawaii County,2007,-2.0,556.9,245.51,230.7
Hawaii County,2008,-5.72,525.04,231.47,217.5
Hawaii County,2009,-15.37,444.36,195.9,184.08
Hawaii County,2010,-10.34,398.39,175.63,165.04
Hawaii County,2011,-7.2,369.72,162.99,153.16
Hawaii County,2012,0.26,370.68,163.42,153.56
Hawaii County,2013,5.86,392.42,173.0,162.56
Hawaii County,2014,9.25,428.7,188.99,177.59
Hawaii County,2015,7.81,462.2,203.76,191.47
Hawaii County,2016,2.51,473.8,208.88,196.28
Hawaii County,2017,5.49,499.82,220.35,207.05
