county,year,direction,total_us_foreign_returns,total_us_foreign_exemptions,same_state_returns,same_state_exemptions,diff_state_returns,diff_state_exemptions,foreign_returns,foreign_exemptions,nonmigrant_returns,nonmigrant_exemptions,era
Hawaii County,1990,in,3656.0,6877.0,1484.0,2868.0,2099.0,3859.0,73.0,150.0,41761.0,92322.0,pre2011
Hawaii County,1991,in,3321.0,6440.0,1430.0,2906.0,1800.0,3351.0,91.0,183.0,43338.0,95208.0,pre2011
Hawaii County,1992,in,3082.0,5925.0,1325.0,2688.0,1677.0,3104.0,80.0,133.0,43764.0,96345.0,pre2011
Hawaii County,1993,in,2795.0,5171.0,1183.0,2264.0,1529.0,2784.0,83.0,123.0,43675.0,96503.0,pre2011
Hawaii County,1994,in,2646.0,4941.0,1108.0,2064.0,1468.0,2759.0,70.0,118.0,43118.0,95168.0,pre2011
Hawaii County,1995,in,2321.0,4214.0,849.0,1638.0,1399.0,2465.0,73.0,111.0,44285.0,96982.0,pre2011
Hawaii County,1996,in,2401.0,4414.0,944.0,1770.0,1389.0,2517.0,68.0,127.0,44480.0,97053.0,pre2011
Hawaii County,1997,in,2318.0,4115.0,812.0,1479.0,1415.0,2506.0,91.0,130.0,45118.0,97875.0,pre2011
Hawaii County,1998,in,2402.0,4242.0,764.0,1416.0,1553.0,2696.0,85.0,130.0,45820.0,98985.0,pre2011
Hawaii County,1999,in,2667.0,4714.0,800.0,1446.0,1799.0,3168.0,68.0,100.0,47010.0,100629.0,pre2011
Hawaii County,2000,in,2896.0,5007.0,849.0,1548.0,1933.0,3282.0,114.0,177.0,48241.0,102091.0,pre2011
Hawaii County,2001,in,3036.0,5346.0,840.0,1550.0,2106.0,3677.0,90.0,119.0,49710.0,104122.0,pre2011
Hawaii County,2002,in,3333.0,5758.0,910.0,1607.0,2332.0,4022.0,91.0,129.0,50872.0,106361.0,pre2011
Hawaii County,2003,in,3462.0,6128.0,877.0,1617.0,2504.0,4370.0,81.0,141.0,52184.0,108519.0,pre2011
Hawaii County,2004,in,3916.0,6893.0,917.0,1655.0,2887.0,5069.0,112.0,169.0,53435.0,110942.0,pre2011
Hawaii County,2005,in,3964.0,7076.0,987.0,1861.0,2874.0,5063.0,103.0,152.0,55199.0,114558.0,pre2011
Hawaii County,2006,in,3759.0,6498.0,1009.0,1852.0,2671.0,4538.0,79.0,108.0,57518.0,118247.0,pre2011
Hawaii County,2007,in,3916.0,6737.0,1142.0,2028.0,2679.0,4586.0,95.0,123.0,61406.0,124886.0,pre2011
Hawaii County,2008,in,3195.0,5521.0,834.0,1496.0,2261.0,3877.0,100.0,148.0,63352.0,129134.0,pre2011
Hawaii County,2009,in,2874.0,5075.0,762.0,1361.0,2067.0,3623.0,45.0,91.0,62002.0,128305.0,pre2011
Hawaii County,2010,in,3030.0,5315.0,769.0,1441.0,2220.0,3807.0,41.0,67.0,61115.0,127359.0,pre2011
Hawaii County,2011,in,3554.0,6394.0,840.0,1549.0,2677.0,4782.0,37.0,63.0,64588.0,135052.0,2011_2021
Hawaii County,2012,in,3905.0,7048.0,907.0,1681.0,2921.0,5207.0,77.0,160.0,65395.0,136004.0,2011_2021
Hawaii County,2013,in,3894.0,7127.0,903.0,1714.0,2887.0,5209.0,104.0,204.0,66180.0,136802.0,2011_2021
Hawaii County,2014,in,3028.0,5286.0,750.0,1333.0,2227.0,3844.0,51.0,109.0,67698.0,138857.0,2011_2021
Hawaii County,2015,in,3958.0,7067.0,958.0,1786.0,2971.0,5222.0,29.0,59.0,68366.0,139312.0,2011_2021
Hawaii County,2016,in,4974.0,9055.0,1112.0,2033.0,3862.0,7022.0,,,68990.0,139725.0,2011_2021
Hawaii County,2017,in,4003.0,7018.0,883.0,1597.0,3067.0,5331.0,53.0,90.0,70835.0,142339.0,2011_2021
Hawaii County,2018,in,3784.0,6778.0,822.0,1505.0,2962.0,5273.0,,,72094.0,143841.0,2011_2021
Hawaii County,2019,in,4228.0,7799.0,947.0,1788.0,3281.0,6011.0,,,73371.0,149994.0,2011_2021
Hawaii County,2020,in,4696.0,8303.0,958.0,1714.0,3716.0,6545.0,22.0,44.0,74235.0,143716.0,2011_2021
Hawaii County,2021,in,4313.0,7607.0,930.0,1609.0,3383.0,5998.0,,,76294.0,147334.0,2011_2021
Hawaii County,2022,in,4103.0,7086.0,847.0,1524.0,3200.0,5462.0,56.0,100.0,78069.0,150179.0,post2022
Honolulu County,1990,in,22464.0,44605.0,1571.0,2635.0,18462.0,36614.0,2431.0,5356.0,306764.0,646835.0,pre2011
Honolulu County,1991,in,24919.0,48804.0,1732.0,2919.0,19815.0,39403.0,3372.0,6482.0,313599.0,655891.0,pre2011
