county,year,labor_force,employed,unemployed,unemployment_rate
Hawaii County,1990,58088,55894,2194,0.037770279575816
Hawaii County,1991,62586,59774,2812,0.044930176077717064
Hawaii County,1992,64118,59437,4681,0.0730060201503478
Hawaii County,1993,64824,59885,4939,0.0761909169443416
Hawaii County,1994,65143,59097,6046,0.09281119997543864
Hawaii County,1995,64814,58607,6207,0.09576634677693091
Hawaii County,1996,66874,60722,6152,0.09199389897419027
Hawaii County,1997,69062,62522,6540,0.09469751817207726
Hawaii County,1998,69106,62920,6186,0.0895146586403496
Hawaii County,1999,70365,64697,5668,0.08055141050238045
Hawaii County,2000,73871,70170,3701,0.05010085148434433
Hawaii County,2001,75974,72161,3813,0.05018822228657172
Hawaii County,2002,76518,72998,3520,0.046002247837110224
Hawaii County,2003,78223,74581,3642,0.04655919614435652
Hawaii County,2004,80160,76986,3174,0.03959580838323353
Hawaii County,2005,82676,79856,2820,0.03410905220378344
Hawaii County,2006,85844,83245,2599,0.030275849214854853
Hawaii County,2007,87363,84304,3059,0.03501482320890995
Hawaii County,2008,88167,83172,4995,0.05665385007996189
Hawaii County,2009,87213,79102,8111,0.09300219004047562
Hawaii County,2010,90171,81616,8555,0.09487529249980592
Hawaii County,2011,90316,81666,8650,0.09577483502369458
Hawaii County,2012,88259,81247,7012,0.07944798830714148
Hawaii County,2013,88112,82495,5617,0.06374841111312875
Hawaii County,2014,89964,85211,4753,0.0528322440087146
Hawaii County,2015,91086,87300,3786,0.041565114287596336
Hawaii County,2016,88256,84958,3298,0.03736856417693981
Hawaii County,2017,88933,86498,2435,0.02738016259431257
Hawaii County,2018,88637,85919,2718,0.030664395229982964
Hawaii County,2019,87930,84933,2997,0.034083930399181166
Hawaii County,2020,86373,75936,10437,0.12083637247751033
Hawaii County,2021,88206,82798,5408,0.061311021925946084
Hawaii County,2022,88141,84949,3192,0.036214701444276784
Hawaii County,2023,90218,87406,2812,0.031168946330000665
Hawaii County,2024,91570,88846,2724,0.029747733974008955
Hawaii County,2025,92084,89625,2459,0.02670387906693888
Honolulu County,1990,406880,398294,8586,0.021102044828942193
Honolulu County,1991,412028,403640,8388,0.020357839758463017
Honolulu County,1992,417740,406470,11270,0.026978503375305215
Honolulu County,1993,422984,409646,13338,0.03153310763527698
Honolulu County,1994,423162,406518,16644,0.03933245423738426
Honolulu County,1995,424274,406000,18274,0.04307122284184277
Honolulu County,1996,428632,407686,20946,0.048867093450792286
Honolulu County,1997,431676,410486,21190,0.0490877417322251
Honolulu County,1998,431949,410443,21506,0.049788285191075796
Honolulu County,1999,430444,410850,19594,0.04552043936028845
Honolulu County,2000,430864,413148,17716,0.04111738274722418
Honolulu County,2001,433383,415500,17883,0.04126373207993853
Honolulu County,2002,430246,413257,16989,0.03948671225299015
Honolulu County,2003,432783,416483,16300,0.037663216900848694
Honolulu County,2004,437956,423904,14052,0.03208541497319366
Honolulu County,2005,449671,437272,12399,0.027573492620160074
Honolulu County,2006,455532,444300,11232,0.024656884697452648
Honolulu County,2007,456047,444202,11845,0.025973200130688285
Honolulu County,2008,461700,444925,16775,0.03633311674247347
Honolulu County,2009,458991,433801,25190,0.05488125039488792
Honolulu County,2010,453614,427429,26185,0.05772529066563201
Honolulu County,2011,458854,432121,26733,0.0582603616836728
Honolulu County,2012,453205,429481,23724,0.05234717180966671
Honolulu County,2013,455287,435605,19682,0.04322987478228019
Honolulu County,2014,465158,446680,18478,0.03972413674493398
Honolulu County,2015,469209,454050,15159,0.0323075644329073
Honolulu County,2016,484546,471462,13084,0.027002596244732183
Honolulu County,2017,484650,474462,10188,0.021021355617455897
Honolulu County,2018,481534,470597,10937,0.022712830246670018
Honolulu County,2019,477677,466394,11283,0.02362056368634035
Honolulu County,2020,462216,415896,46320,0.10021288748117763
Honolulu County,2021,464869,439583,25286,0.05439381847359148
Honolulu County,2022,468217,453421,14796,0.0316007321391577
Honolulu County,2023,470210,458114,12096,0.025724676208502585
Honolulu County,2024,472137,460228,11909,0.02522361094343379
Honolulu County,2025,476179,465430,10749,0.02257344402000088
Kauai County,1990,25997,24994,1003,0.038581374774012384
Kauai County,1991,28049,26897,1152,0.04107098292274235
Kauai County,1992,28840,26143,2697,0.09351595006934812
Kauai County,1993,28147,24498,3649,0.12964081429637261
Kauai County,1994,28409,24918,3491,0.12288359322749833
Kauai County,1995,28625,25547,3078,0.10752838427947599
Kauai County,1996,28806,25540,3266,0.11337915712004444
Kauai County,1997,28729,25709,3020,0.10512026175641338
Kauai County,1998,28876,26215,2661,0.09215265272198365
Kauai County,1999,29328,27243,2085,0.0710924713584288
Kauai County,2000,30228,28771,1457,0.048200344051872436
Kauai County,2001,30350,28799,1551,0.05110378912685338
Kauai County,2002,30402,29066,1336,0.0439444773370173
Kauai County,2003,31241,29994,1247,0.03991549566275087
Kauai County,2004,31925,30827,1098,0.034393108848864526
Kauai County,2005,32651,31736,915,0.028023643992527027
Kauai County,2006,33254,32427,827,0.024869188669032295
Kauai County,2007,33664,32768,896,0.026615969581749048
Kauai County,2008,33942,32391,1551,0.04569559837369631
Kauai County,2009,33265,30303,2962,0.0890425372012626
Kauai County,2010,35619,32628,2991,0.08397203739577191
Kauai County,2011,35929,32903,3026,0.08422165938378469
Kauai County,2012,35118,32684,2434,0.06930918617233328
Kauai County,2013,35181,33302,1879,0.053409510815497004
Kauai County,2014,35969,34318,1651,0.045900636659345545
Kauai County,2015,36506,35133,1373,0.037610255848353695
Kauai County,2016,36763,35619,1144,0.031118243886516333
Kauai County,2017,37234,36412,822,0.02207659665896761
Kauai County,2018,36949,36041,908,0.0245744133806057
Kauai County,2019,37232,36293,939,0.025220240653201546
Kauai County,2020,35892,30045,5847,0.162905382815112
Kauai County,2021,35813,32902,2911,0.08128333286795297
Kauai County,2022,36128,34905,1223,0.033851860053144375
Kauai County,2023,36723,35804,919,0.025025188573918253
Kauai County,2024,37057,36156,901,0.024313894810697033
Kauai County,2025,37693,36880,813,0.02156899158995039
Maui County,1990,57059,54482,2577,0.04516377784398605
Maui County,1991,60365,57113,3252,0.05387227698169469
Maui County,1992,64676,59623,5053,0.07812789906611417
Maui County,1993,65489,61976,3513,0.053642596466582176
Maui County,1994,65994,62155,3839,0.05817195502621451
Maui County,1995,66648,62077,4571,0.06858420357700155
Maui County,1996,67818,63226,4592,0.06771063729393377
Maui County,1997,69688,64845,4843,0.06949546550338652
Maui County,1998,70654,66191,4463,0.06316698276106095
Maui County,1999,72573,68754,3819,0.052622876276301106
Maui County,2000,70943,68164,2779,0.03917229324951017
Maui County,2001,72890,69946,2944,0.04038962820688709
Maui County,2002,72374,69544,2830,0.03910244010279935
Maui County,2003,72670,69944,2726,0.03751204073207651
Maui County,2004,75091,72732,2359,0.031415216204338736
Maui County,2005,76772,74719,2053,0.026741520345959464
Maui County,2006,79036,77122,1914,0.02421681259173035
Maui County,2007,80830,78491,2339,0.028937275763949027
Maui County,2008,81301,77559,3742,0.04602649413906348
Maui County,2009,79131,72541,6590,0.08327962492575602
Maui County,2010,81413,74739,6674,0.08197707982754597
Maui County,2011,82112,75744,6368,0.07755261106780982
Maui County,2012,81321,76326,4995,0.06142324860737079
Maui County,2013,81913,77848,4065,0.049625822519014075
Maui County,2014,84672,81002,3670,0.043343726379440665
Maui County,2015,86319,83298,3021,0.03499808848573315
Maui County,2016,84617,82004,2613,0.03088031955753572
Maui County,2017,85866,83786,2080,0.024223790557380102
Maui County,2018,86309,84231,2078,0.02407628404917216
Maui County,2019,85693,83547,2146,0.0250428856499364
Maui County,2020,81627,66740,14887,0.1823783797027944
Maui County,2021,83676,77154,6522,0.07794349634303743
Maui County,2022,83514,80773,2741,0.03282084440932059
Maui County,2023,83315,79721,3594,0.04313749024785453
Maui County,2024,81761,78439,3322,0.04063061851004758
Maui County,2025,81957,79768,2189,0.026709127957343485
