county,year,era,households_at_risk,out_rate_all,out_rate_diff_state,out_rate_same_state,in_rate_all,net_rate,net_migration_returns,avg_household_size,visitor_days,ln_visitor_days,unemployment_rate,labor_force,ln_labor_force,hpi_1990_base,ln_hpi,ln_out_rate_diff_state
Hawaii County,1990,pre2011,44250.0,0.05624858757062147,0.03319774011299435,0.021423728813559324,0.08262146892655367,0.026372881355932205,1167.0,2.210722923301645,,,0.037770279575816,58088,10.969714381060083,100.0,4.605170185988092,-3.405273474262198
Hawaii County,1991,pre2011,45997.0,0.05780811792073396,0.034676174533121724,0.02174054829662804,0.07220036089310172,0.014392242972367764,662.0,2.1968711061885644,,,0.044930176077717,62586,11.044296889904025,116.67,4.759349436835766,-3.3617024407342364
Hawaii County,1992,pre2011,46357.0,0.05593545742822012,0.0321202838837716,0.022456155488922925,0.06648402614491879,0.010548568716698665,489.0,2.2014669591445024,,,0.0730060201503478,64118,11.068480414721115,117.65,4.767714115173372,-3.4382675517181127
Hawaii County,1993,pre2011,46181.0,0.054264740910764164,0.03254585219029471,0.020896039496762737,0.06052272579632317,0.006257984885558996,289.0,2.209570692615913,,,0.0761909169443416,64824,11.079431184140562,117.41,4.76567208264212,-3.4251053473169013
Hawaii County,1994,pre2011,45573.0,0.053869615781274,0.030939371996576922,0.021438132227415356,0.058060693831874136,0.004191078050600136,191.0,2.2071524653277055,,,0.0928111999754386,65143,11.08434013242126,112.85,4.726059503263545,-3.4757257315035583
Hawaii County,1995,pre2011,46644.0,0.05057456478861161,0.03288740245261984,0.016572335134208045,0.049759883371923504,-0.0008146814166881056,-38.0,2.189951450829852,,,0.0957663467769309,64814,11.079276908387776,109.48,4.695741884172478,-3.414665598713022
Hawaii County,1996,pre2011,46743.0,0.048413666217401535,0.03262520591318486,0.01446205849004129,0.051365979932824164,0.0029523137154226302,138.0,2.1819469424460434,,,0.0919938989741902,66874,11.110565530815478,108.01,4.682223815430383,-3.4226701018439525
Hawaii County,1997,pre2011,47464.0,0.0494269340974212,0.03118152705208158,0.016918085285690207,0.048837013315354796,-0.0005899207820664082,-28.0,2.1693115829602374,,,0.0946975181720772,69062,11.142759930848998,100.01,4.605270180988425,-3.4679294411803183
Hawaii County,1998,pre2011,48368.0,0.052679457492557064,0.035560701290109166,0.015857591796228913,0.04966093284816408,-0.003018524644392987,-146.0,2.1603011785246617,,,0.0895146586403496,69106,11.14339683666637,104.15,4.645832167706981,-3.3365141472117403
Hawaii County,1999,pre2011,49317.0,0.046779001155788064,0.02992882778757832,0.015633554352454528,0.05407871525031936,0.007299714094531297,360.0,2.140587109125718,8298758.497110555,15.931616482917443,0.0805514105023804,70365,11.161451259430669,102.57,4.630545492319319,-3.5089331230172025
Hawaii County,2000,pre2011,50674.0,0.04801278762284406,0.030725816000315744,0.016023996526818487,0.05714962308086988,0.009136835458025813,463.0,2.1162703924048007,7990225.0,15.893729477546216,0.0501008514843443,73871,11.210075607726404,106.42,4.667393529168224,-3.4826520656950444
Hawaii County,2001,pre2011,52144.0,0.046678428965940474,0.0301472844430807,0.015131175207118748,0.05822338140533906,0.01154495243939859,602.0,2.0945886139609735,7688456.617113169,15.855230621353606,0.0501882222865717,75974,11.238146455473956,114.69,4.742232836376431,-3.501660428088191
Hawaii County,2002,pre2011,53220.0,0.044118752348741075,0.02788425403983465,0.01501315295001879,0.06262683201803833,0.018508079669297257,985.0,2.0907571945274412,8130989.300065612,15.911193159245881,0.0460022478371102,76518,11.245281286254954,122.25,4.8060681283549815,-3.5796931208043543
Hawaii County,2003,pre2011,54536.0,0.04312747542907437,0.027999853307906705,0.014155787003080534,0.06348100337391814,0.020353527944843772,1110.0,2.0795454545454546,8005790.379679573,15.895675635289,0.0465591961443565,78223,11.267319000936345,133.79,4.8962714064855275,-3.5755560078239887
Hawaii County,2004,pre2011,55987.0,0.0455820101094897,0.03145373033025524,0.013163770160930215,0.06994480861628592,0.02436279850679622,1364.0,2.0762047347244317,8555751.90265381,15.962114351879235,0.0395958083832335,80160,11.291779916318692,167.58,5.121460849185141,-3.4592376914146135
Hawaii County,2005,pre2011,57934.0,0.04720889287810267,0.03336555390616909,0.012583284427106708,0.06842268788621535,0.02121379500811268,1229.0,2.0753636841247123,10135365.806886656,16.13154143064428,0.0341090522037834,82676,11.322684633331727,224.87,5.415522457448741,-3.4002312313506393
Hawaii County,2006,pre2011,60407.0,0.047825583127783206,0.03391990994421176,0.012962073931829092,0.0622278874964822,0.014402304368698993,870.0,2.0558260022949337,10223937.280971648,16.140242321090383,0.0302758492148548,85844,11.360286974541372,250.53,5.5235786738332475,-3.3837531230085465
Hawaii County,2007,pre2011,64637.0,0.0499868496372047,0.03545956650215821,0.013521667156582144,0.06058449494871358,0.010597645311508887,685.0,2.0337752011204118,10180353.855225522,16.13597032832788,0.0350148232089099,87363,11.377827131048445,245.51,5.5033376796025575,-3.339362203392239
Hawaii County,2008,pre2011,66661.0,0.04963921933364336,0.03429291489776631,0.014206207527639849,0.04792907397128756,-0.0017101453623558003,-114.0,2.0383571157974494,9092338.24542081,16.02294266579456,0.0566538500799618,88167,11.386988022323571,231.47,5.444450275495997,-3.372816508894603
Hawaii County,2009,pre2011,64980.0,0.045829485995690984,0.031332717759310555,0.013588796552785472,0.04422899353647276,-0.001600492459218221,-104.0,2.069368730040966,8469605.947713213,15.951994542253576,0.0930021900404756,87213,11.376108681354177,195.9,5.277604324950495,-3.463092431552678
Hawaii County,2010,pre2011,63970.0,0.04463029545099265,0.030248554009692043,0.013412537126778177,0.04736595279037049,0.0027356573393778334,175.0,2.0839237503067984,9102155.562204571,16.02402181840417,0.0948752924998059,90171,11.409463146595483,175.63,5.168379509433644,-3.498306896980301
