44 001   Bristol Total Migration  RI      1147             2180
  44 007 Providence               RI       410  35.75       794  36.42
  25 005 Bristol                  Ma       125  10.90       222  10.18
  44 005 Newport                  RI       101   8.81       178   8.17
  44 003 Kent                     RI        52   4.53        95   4.36
  25 017 Middlesex                Ma        25   2.18        42   1.93
  57 001 Foreign / Overseas       FR        24   2.09        56   2.57
  44 009 Washington               RI        23   2.01        34   1.56
  25 025 Suffolk                  Ma        15   1.31        16    .73
  25 021 Norfolk                  Ma        15   1.31        29   1.33
  09 001 Fairfield                Ct        12   1.05        27   1.24
  25 027 Worcester                Ma        12   1.05        20    .92
  36 061 New York                 NY        11    .96        21    .96
   Region 1:   Northeast                   163  14.21       331  15.18
   Region 2:   Midwest                      32   2.79        67   3.07
   Region 3:   South                        82   7.15       167   7.66
   Region 4:   West                         45   3.92        81   3.72
      44 001   County Non-Migrants       17777            39191
44 003   Kent Total Migration Flo RI      3912             7010
  44 007 Providence               RI      2150  54.96      3882  55.38
  44 009 Washington               RI       460  11.76       803  11.46
  25 005 Bristol                  Ma       109   2.79       166   2.37
  44 005 Newport                  RI        64   1.64        97   1.38
  25 021 Norfolk                  Ma        42   1.07        76   1.08
  25 017 Middlesex                Ma        42   1.07        66    .94
  57 001 Foreign / Overseas       FR        38    .97        70   1.00
  44 001 Bristol                  RI        38    .97        86   1.23
  25 027 Worcester                Ma        37    .95        67    .96
  09 011 New London               Ct        28    .72        42    .60
  25 025 Suffolk                  Ma        24    .61        31    .44
  09 009 New Haven                Ct        24    .61        41    .58
  09 003 Hartford                 Ct        21    .54        31    .44
  33 015 Rockingham               NH        20    .51        37    .53
  06 037 Los Angeles              Ca        18    .46        33    .47
  09 001 Fairfield                Ct        17    .43        29    .41
  33 011 Hillsborough             NH        16    .41        28    .40
  09 015 Windham                  Ct        15    .38        29    .41
  25 023 Plymouth                 Ma        15    .38        28    .40
  06 059 Orange                   Ca        13    .33        27    .39
  12 011 Broward                  Fl        13    .33        19    .27
  12 099 Palm Beach               Fl        13    .33        16    .23
  25 013 Hampden                  Ma        12    .31        22    .31
  36 119 Westchester              NY        11    .28        16    .23
  36 081 Queens                   NY        11    .28        20    .29
  17 031 Cook                     Il        11    .28        30    .43
  36 061 New York                 NY        10    .26        18    .26
   Region 1:   Northeast                   231   5.90       406   5.79
   Region 2:   Midwest                      83   2.12       160   2.28
   Region 3:   South                       247   6.31       466   6.65
   Region 4:   West                         79   2.02       168   2.40
      44 003   County Non-Migrants       61557           131467
44 005   Newport Total Migration  RI      3192             7004
  57 001 Foreign / Overseas       FR       306   9.59       709  10.12
  25 005 Bristol                  Ma       281   8.80       570   8.14
  44 007 Providence               RI       218   6.83       356   5.08
  44 009 Washington               RI       112   3.51       182   2.60
  06 073 San Diego                Ca       106   3.32       291   4.15
  44 001 Bristol                  RI        94   2.94       192   2.74
  51 810 Virginia Beach city      Va        83   2.60       287   4.10
  44 003 Kent                     RI        67   2.10       102   1.46
  25 017 Middlesex                Ma        63   1.97       108   1.54
  06 053 Monterey                 Ca        50   1.57       129   1.84
  12 031 Duval                    Fl        47   1.47       155   2.21
  51 710 Norfolk city             Va        42   1.32       134   1.91
  15 003 Honolulu                 Hi        41   1.28       116   1.66
  25 021 Norfolk                  Ma        40   1.25        62    .89
  09 011 New London               Ct        38   1.19        92   1.31
  25 025 Suffolk                  Ma        34   1.07        47    .67
  25 023 Plymouth                 Ma        31    .97        46    .66
  09 009 New Haven                Ct        29    .91        50    .71
  51 059 Fairfax                  Va        27    .85        80   1.14
  45 019 Charleston               SC        27    .85        87   1.24
  17 097 Lake                     Il        24    .75        71   1.01
  09 003 Hartford                 Ct        22    .69        36    .51
  12 095 Orange                   Fl        22    .69        37    .53
  06 037 Los Angeles              Ca        21    .66        44    .63
  25 027 Worcester                Ma        19    .60        31    .44
  24 003 Anne Arundel             Md        19    .60        46    .66
  09 001 Fairfield                Ct        18    .56        33    .47
  12 033 Escambia                 Fl        18    .56        49    .70
  37 133 Onslow                   NC        18    .56        51    .73
  45 015 Berkeley                 SC        17    .53        57    .81
  25 009 Essex                    Ma        17    .53        29    .41
  11 001 Wash.,D.C.               DC        16    .50        40    .57
  12 011 Broward                  Fl        15    .47        22    .31
  25 001 Barnstable               Ma        14    .44        21    .30
  06 059 Orange                   Ca        14    .44        39    .56
  23 005 Cumberland               Me        14    .44        27    .39
  36 061 New York                 NY        14    .44        20    .29
  33 011 Hillsborough             NH        13    .41        25    .36
  36 103 Suffolk                  NY        12    .38        18    .26
  12 099 Palm Beach               Fl        12    .38        16    .23
  51 153 Prince William           Va        12    .38        45    .64
  04 013 Maricopa                 Az        12    .38        26    .37
  42 041 Cumberland               Pa        12    .38        28    .40
  12 103 Pinellas                 Fl        11    .34        20    .29
  36 081 Queens                   NY        11    .34        15    .21
  22 071 Orleans                  La        10    .31        19    .27
  36 071 Orange                   NY        10    .31        17    .24
   Region 1:   Northeast                   327  10.24       628   8.97
   Region 2:   Midwest                     166   5.20       375   5.35
   Region 3:   South                       408  12.78       975  13.92
   Region 4:   West                        138   4.32       349   4.98
      44 005   County Non-Migrants       30128            62770
44 007   Providence Total Migrati RI      7756            12744
  44 003 Kent                     RI      1605  20.69      2671  20.96
  25 005 Bristol                  Ma       837  10.79      1374  10.78
  44 001 Bristol                  RI       381   4.91       667   5.23
  44 009 Washington               RI       366   4.72       561   4.40
  25 021 Norfolk                  Ma       336   4.33       530   4.16
  25 027 Worcester                Ma       318   4.10       534   4.19
  25 017 Middlesex                Ma       275   3.55       412   3.23
  25 025 Suffolk                  Ma       205   2.64       337   2.64
  44 005 Newport                  RI       176   2.27       247   1.94
  57 001 Foreign / Overseas       FR        98   1.26       188   1.48
  25 023 Plymouth                 Ma        86   1.11       149   1.17
  36 061 New York                 NY        78   1.01       139   1.09
  25 009 Essex                    Ma        78   1.01       119    .93
  09 003 Hartford                 Ct        61    .79        89    .70
  06 037 Los Angeles              Ca        61    .79       106    .83
  09 009 New Haven                Ct        57    .73        77    .60
  36 047 Kings                    NY        54    .70       113    .89
  25 001 Barnstable               Ma        53    .68        82    .64
  12 025 Dade                     Fl        51    .66        98    .77
  09 015 Windham                  Ct        50    .64        86    .67
  12 011 Broward                  Fl        50    .64        64    .50
  09 001 Fairfield                Ct        47    .61        81    .64
  06 073 San Diego                Ca        47    .61        85    .67
  36 081 Queens                   NY        44    .57        78    .61
  17 031 Cook                     Il        44    .57        68    .53
  33 011 Hillsborough             NH        42    .54        68    .53
  09 011 New London               Ct        40    .52        61    .48
  36 005 Bronx                    NY        39    .50        79    .62
  36 103 Suffolk                  NY        32    .41        54    .42
  33 015 Rockingham               NH        31    .40        47    .37
  36 119 Westchester              NY        27    .35        38    .30
  25 013 Hampden                  Ma        27    .35        35    .27
  34 013 Essex                    NJ        27    .35        46    .36
  12 095 Orange                   Fl        26    .34        46    .36
  12 099 Palm Beach               Fl        26    .34        53    .42
  42 101 Philadelphia             Pa        24    .31        36    .28
  36 059 Nassau                   NY        23    .30        43    .34
  12 127 Volusia                  Fl        22    .28        33    .26
  34 003 Bergen                   NJ        22    .28        33    .26
  06 059 Orange                   Ca        22    .28        39    .31
  24 031 Montgomery               Md        22    .28        31    .24
  34 023 Middlesex                NJ        20    .26        24    .19
  04 013 Maricopa                 Az        19    .24        30    .24
  23 005 Cumberland               Me        19    .24        29    .23
  25 003 Berkshire                Ma        18    .23        29    .23
  12 103 Pinellas                 Fl        18    .23        28    .22
  33 017 Strafford                NH        18    .23        28    .22
  12 115 Sarasota                 Fl        18    .23        29    .23
  48 113 Dallas                   Tx        18    .23        31    .24
  11 001 Wash.,D.C.               DC        17    .22        25    .20
  36 067 Onondaga                 NY        17    .22        23    .18
  34 039 Union                    NJ        17    .22        32    .25
  48 201 Harris                   Tx        16    .21        31    .24
  06 001 Alameda                  Ca        16    .21        23    .18
  24 510 Baltimore city           Md        15    .19        21    .16
  04 019 Pima                     Az        15    .19        35    .27
  34 027 Morris                   NJ        15    .19        21    .16
  32 003 Clark                    Nv        15    .19        22    .17
  12 057 Hillsborough             Fl        14    .18        19    .15
  25 015 Hampshire                Ma        14    .18        21    .16
  34 017 Hudson                   NJ        13    .17        24    .19
  51 059 Fairfax                  Va        13    .17        24    .19
  42 091 Montgomery               Pa        13    .17        20    .16
  37 051 Cumberland               NC        13    .17        24    .19
  34 007 Camden                   NJ        13    .17        18    .14
  36 055 Monroe                   NY        13    .17        21    .16
  51 810 Virginia Beach city      Va        13    .17        31    .24
  09 013 Tolland                  Ct        13    .17        20    .16
  48 029 Bexar                    Tx        12    .15        20    .16
  37 133 Onslow                   NC        12    .15        18    .14
  12 009 Brevard                  Fl        12    .15        25    .20
  24 033 Prince George's          Md        12    .15        14    .11
  06 075 San Francisco            Ca        12    .15        13    .10
  48 439 Tarrant                  Tx        12    .15        15    .12
  34 021 Mercer                   NJ        12    .15        17    .13
  15 003 Honolulu                 Hi        12    .15        16    .13
  36 029 Erie                     NY        11    .14        20    .16
  33 013 Merrimack                NH        11    .14        19    .15
  06 085 Santa Clara              Ca        11    .14        14    .11
  34 031 Passaic                  NJ        11    .14        17    .13
  39 035 Cuyahoga                 Oh        11    .14        18    .14
  36 001 Albany                   NY        11    .14        18    .14
  33 009 Grafton                  NH        11    .14        23    .18
  36 091 Saratoga                 NY        11    .14        19    .15
  23 019 Penobscot                Me        11    .14        17    .13
  53 033 King                     Wa        11    .14        14    .11
  12 031 Duval                    Fl        10    .13        19    .15
  39 049 Franklin                 Oh        10    .13        17    .13
  17 043 Du Page                  Il        10    .13        21    .16
  27 053 Hennepin                 Mn        10    .13        10    .08
  34 035 Somerset                 NJ        10    .13        15    .12
  12 071 Lee                      Fl        10    .13        17    .13
  33 003 Carroll                  NH        10    .13        13    .10
  26 163 Wayne                    Mi        10    .13        17    .13
   Region 1:   Northeast                   327   4.22       501   3.93
   Region 2:   Midwest                     224   2.89       368   2.89
   Region 3:   South                       433   5.58       798   6.26
   Region 4:   West                        153   1.97       251   1.97
      44 007   County Non-Migrants      212174           433688
44 009   Washington Total Migrati RI      2979             5504
  44 003 Kent                     RI       597  20.04      1089  19.79
  44 007 Providence               RI       592  19.87      1043  18.95
  09 011 New London               Ct       314  10.54       579  10.52
  44 005 Newport                  RI       132   4.43       252   4.58
  57 001 Foreign / Overseas       FR        53   1.78       106   1.93
  25 017 Middlesex                Ma        41   1.38        56   1.02
  44 001 Bristol                  RI        41   1.38        71   1.29
  09 003 Hartford                 Ct        40   1.34        71   1.29
  25 005 Bristol                  Ma        37   1.24        63   1.14
  09 001 Fairfield                Ct        36   1.21        79   1.44
  09 009 New Haven                Ct        35   1.17        48    .87
  25 027 Worcester                Ma        33   1.11        65   1.18
  25 021 Norfolk                  Ma        29    .97        40    .73
  25 025 Suffolk                  Ma        22    .74        24    .44
  36 061 New York                 NY        21    .70        38    .69
  36 119 Westchester              NY        18    .60        26    .47
  12 011 Broward                  Fl        17    .57        31    .56
  09 007 Middlesex                Ct        17    .57        34    .62
  12 099 Palm Beach               Fl        16    .54        25    .45
  25 009 Essex                    Ma        16    .54        27    .49
  25 023 Plymouth                 Ma        15    .50        38    .69
  09 015 Windham                  Ct        15    .50        26    .47
  06 037 Los Angeles              Ca        15    .50        24    .44
  33 011 Hillsborough             NH        14    .47        19    .35
  25 013 Hampden                  Ma        14    .47        23    .42
  06 073 San Diego                Ca        14    .47        37    .67
  36 091 Saratoga                 NY        13    .44        34    .62
  25 001 Barnstable               Ma        10    .34        18    .33
   Region 1:   Northeast                   343  11.51       648  11.77
   Region 2:   Midwest                      81   2.72       181   3.29
   Region 3:   South                       253   8.49       534   9.70
