06 001   Alameda Total Migration  Ca     38713            71678
  06 013 Contra Costa             Ca      6339  16.37     11513  16.06
  06 085 Santa Clara              Ca      3616   9.34      6128   8.55
  06 075 San Francisco            Ca      3154   8.15      4325   6.03
  06 077 San Joaquin              Ca      1691   4.37      3900   5.44
  06 081 San Mateo                Ca      1631   4.21      2704   3.77
  06 067 Sacramento               Ca      1356   3.50      2655   3.70
  06 037 Los Angeles              Ca      1349   3.48      2145   2.99
  06 095 Solano                   Ca      1071   2.77      2449   3.42
  06 099 Stanislaus               Ca       987   2.55      2316   3.23
  57 001 Foreign / Overseas       FR       815   2.11      1451   2.02
  06 073 San Diego                Ca       710   1.83      1322   1.84
  06 041 Marin                    Ca       480   1.24       715   1.00
  06 097 Sonoma                   Ca       478   1.23       812   1.13
  53 033 King                     Wa       469   1.21       792   1.10
  06 059 Orange                   Ca       430   1.11       766   1.07
  06 019 Fresno                   Ca       299    .77       645    .90
  04 013 Maricopa                 Az       276    .71       531    .74
  06 061 Placer                   Ca       273    .71       581    .81
  06 087 Santa Cruz               Ca       252    .65       392    .55
  32 031 Washoe                   Nv       239    .62       439    .61
  15 003 Honolulu                 Hi       226    .58       390    .54
  53 035 Kitsap                   Wa       211    .55       628    .88
  41 051 Multnomah                Or       204    .53       382    .53
  17 031 Cook                     Il       202    .52       375    .52
  06 113 Yolo                     Ca       201    .52       322    .45
  06 017 El Dorado                Ca       195    .50       415    .58
  06 007 Butte                    Ca       193    .50       365    .51
  32 003 Clark                    Nv       189    .49       350    .49
  48 201 Harris                   Tx       186    .48       372    .52
  06 053 Monterey                 Ca       173    .45       340    .47
  06 065 Riverside                Ca       157    .41       304    .42
  06 055 Napa                     Ca       148    .38       268    .37
  06 071 San Bernardino           Ca       147    .38       310    .43
  36 061 New York                 NY       144    .37       171    .24
  06 083 Santa Barbara            Ca       144    .37       217    .30
  06 089 Shasta                   Ca       141    .36       281    .39
  06 109 Tuolumne                 Ca       141    .36       265    .37
  41 067 Washington               Or       122    .32       297    .41
  48 113 Dallas                   Tx       120    .31       242    .34
  06 047 Merced                   Ca       115    .30       276    .39
  06 057 Nevada                   Ca       112    .29       240    .33
  25 017 Middlesex                Ma       111    .29       160    .22
  06 111 Ventura                  Ca       109    .28       242    .34
  53 053 Pierce                   Wa       107    .28       235    .33
  06 029 Kern                     Ca       104    .27       225    .31
  06 079 San Luis Obispo          Ca       104    .27       153    .21
  06 009 Calaveras                Ca        99    .26       200    .28
  06 033 Lake                     Ca        98    .25       178    .25
  41 039 Lane                     Or        96    .25       171    .24
  49 035 Salt Lake                Ut        93    .24       204    .28
  06 023 Humboldt                 Ca        88    .23       133    .19
  04 019 Pima                     Az        86    .22       156    .22
  41 029 Jackson                  Or        85    .22       166    .23
  48 453 Travis                   Tx        84    .22       151    .21
  11 001 Wash.,D.C.               DC        82    .21        97    .14
  06 045 Mendocino                Ca        80    .21       147    .21
  08 005 Arapahoe                 Co        79    .20       178    .25
  08 013 Boulder                  Co        78    .20       131    .18
  47 157 Shelby                   Tn        77    .20       172    .24
  35 001 Bernalillo               NM        76    .20       130    .18
  24 031 Montgomery               Md        73    .19       166    .23
  06 039 Madera                   Ca        73    .19       157    .22
  06 005 Amador                   Ca        70    .18       139    .19
  53 011 Clark                    Wa        70    .18       156    .22
  51 059 Fairfax                  Va        70    .18       153    .21
  27 053 Hennepin                 Mn        68    .18       110    .15
  41 005 Clackamas                Or        67    .17       138    .19
  53 061 Snohomish                Wa        66    .17       135    .19
  08 031 Denver                   Co        64    .17        99    .14
  08 059 Jefferson                Co        64    .17       142    .20
  06 107 Tulare                   Ca        63    .16       146    .20
  48 439 Tarrant                  Tx        62    .16       125    .17
  08 041 El Paso                  Co        61    .16       137    .19
  25 025 Suffolk                  Ma        58    .15        97    .14
  42 101 Philadelphia             Pa        58    .15        83    .12
  13 121 Fulton                   Ga        56    .14       117    .16
  53 063 Spokane                  Wa        56    .14       112    .16
  17 043 Du Page                  Il        55    .14       137    .19
  16 001 Ada                      Id        52    .13       124    .17
  51 810 Virginia Beach city      Va        48    .12       116    .16
  41 047 Marion                   Or        48    .12       117    .16
  12 025 Dade                     Fl        48    .12       100    .14
  41 017 Deschutes                Or        46    .12        97    .14
  06 063 Plumas                   Ca        43    .11        78    .11
  12 011 Broward                  Fl        43    .11        82    .11
  06 101 Sutter                   Ca        43    .11        95    .13
  32 510 Carson City city         Nv        43    .11        76    .11
  36 081 Queens                   NY        42    .11        62    .09
  40 143 Tulsa                    Ok        42    .11        86    .12
  55 079 Milwaukee                Wi        40    .10        68    .09
  42 003 Allegheny                Pa        39    .10        64    .09
  55 025 Dane                     Wi        38    .10        62    .09
  48 029 Bexar                    Tx        38    .10        67    .09
  13 067 Cobb                     Ga        38    .10        91    .13
  48 141 El Paso                  Tx        38    .10        90    .13
  06 115 Yuba                     Ca        37    .10        64    .09
  49 049 Utah                     Ut        37    .10        90    .13
  57 003 Foreign / Puerto Rico    FR        37    .10        84    .12
  13 089 De Kalb                  Ga        37    .10        67    .09
  06 103 Tehama                   Ca        36    .09        69    .10
  22 071 Orleans                  La        36    .09        67    .09
  24 033 Prince George's          Md        36    .09        54    .08
  15 009 Maui                     Hi        35    .09        61    .09
  15 001 Hawaii                   Hi        35    .09        57    .08
  02 020 Anchorage Borough        Ak        34    .09        55    .08
  06 093 Siskiyou                 Ca        34    .09        61    .09
  06 031 Kings                    Ca        33    .09        92    .13
  36 047 Kings                    NY        33    .09        49    .07
  41 019 Douglas                  Or        32    .08        50    .07
  09 009 New Haven                Ct        32    .08        54    .08
  17 097 Lake                     Il        32    .08        76    .11
  51 013 Arlington                Va        31    .08        44    .06
  39 049 Franklin                 Oh        31    .08        50    .07
  13 135 Gwinnett                 Ga        31    .08        78    .11
  36 119 Westchester              NY        31    .08        51    .07
  18 097 Marion                   In        31    .08        53    .07
  53 029 Island                   Wa        30    .08        81    .11
  40 109 Oklahoma                 Ok        30    .08        58    .08
  26 163 Wayne                    Mi        30    .08        48    .07
  06 069 San Benito               Ca        29    .07        57    .08
  31 055 Douglas                  Ne        29    .07        63    .09
  39 035 Cuyahoga                 Oh        29    .07        72    .10
  53 067 Thurston                 Wa        29    .07        55    .08
  08 001 Adams                    Co        29    .07        63    .09
  12 031 Duval                    Fl        29    .07        61    .09
  29 189 St. Louis                Mo        28    .07        66    .09
  08 069 Larimer                  Co        28    .07        53    .07
  34 027 Morris                   NJ        27    .07        56    .08
  26 125 Oakland                  Mi        27    .07        57    .08
  32 005 Douglas                  Nv        27    .07        59    .08
  48 085 Collin                   Tx        27    .07        65    .09
  35 049 Santa Fe                 NM        27    .07        48    .07
  25 021 Norfolk                  Ma        27    .07        41    .06
  29 095 Jackson                  Mo        27    .07        58    .08
  26 161 Washtenaw                Mi        26    .07        48    .07
  06 025 Imperial                 Ca        26    .07        77    .11
  41 035 Klamath                  Or        26    .07        54    .08
  53 073 Whatcom                  Wa        25    .06        48    .07
  12 095 Orange                   Fl        25    .06        60    .08
  37 183 Wake                     NC        24    .06        52    .07
  51 700 Newport News city        Va        24    .06        55    .08
  36 055 Monroe                   NY        24    .06        55    .08
  36 059 Nassau                   NY        24    .06        37    .05
  27 123 Ramsey                   Mn        24    .06        41    .06
  39 061 Hamilton                 Oh        24    .06        61    .09
  36 103 Suffolk                  NY        23    .06        32    .04
  53 005 Benton                   Wa        23    .06        70    .10
  42 091 Montgomery               Pa        23    .06        40    .06
  34 021 Mercer                   NJ        23    .06        38    .05
  41 003 Benton                   Or        23    .06        41    .06
  16 019 Bonneville               Id        23    .06        64    .09
  12 103 Pinellas                 Fl        23    .06        39    .05
  04 027 Yuma                     Az        22    .06        47    .07
  41 033 Josephine                Or        22    .06        49    .07
  51 710 Norfolk city             Va        22    .06        56    .08
  47 037 Davidson                 Tn        20    .05        34    .05
  29 510 St. Louis city           Mo        20    .05        26    .04
  48 121 Denton                   Tx        20    .05        46    .06
  10 003 New Castle               De        20    .05        45    .06
  24 003 Anne Arundel             Md        19    .05        41    .06
  08 077 Mesa                     Co        19    .05        45    .06
  23 005 Cumberland               Me        19    .05        34    .05
  51 153 Prince William           Va        19    .05        42    .06
  27 037 Dakota                   Mn        19    .05        34    .05
  04 005 Coconino                 Az        19    .05        30    .04
