33 001   Belknap Total Migration  NH      1763             3178
  33 013 Merrimack                NH       361  20.48       645  20.30
  33 011 Hillsborough             NH       110   6.24       191   6.01
  33 009 Grafton                  NH       101   5.73       188   5.92
  33 003 Carroll                  NH        78   4.42       151   4.75
  33 017 Strafford                NH        71   4.03       118   3.71
  33 015 Rockingham               NH        61   3.46       104   3.27
  25 017 Middlesex                Ma        54   3.06        91   2.86
  57 001 Foreign / Overseas       FR        30   1.70        47   1.48
  12 103 Pinellas                 Fl        25   1.42        37   1.16
  25 009 Essex                    Ma        24   1.36        38   1.20
  25 025 Suffolk                  Ma        21   1.19        34   1.07
  25 021 Norfolk                  Ma        20   1.13        25    .79
  06 037 Los Angeles              Ca        16    .91        24    .76
  12 009 Brevard                  Fl        14    .79        25    .79
  09 003 Hartford                 Ct        13    .74        27    .85
  04 013 Maricopa                 Az        13    .74        31    .98
  45 019 Charleston               SC        13    .74        22    .69
  23 005 Cumberland               Me        12    .68        17    .53
  23 031 York                     Me        12    .68        20    .63
  12 099 Palm Beach               Fl        11    .62        18    .57
  25 023 Plymouth                 Ma        10    .57        18    .57
  53 033 King                     Wa        10    .57        15    .47
   Same State                               22   1.25        38   1.20
   Region 1:   Northeast                   232  13.16       459  14.44
   Region 2:   Midwest                      68   3.86       122   3.84
   Region 3:   South                       255  14.46       485  15.26
   Region 4:   West                        106   6.01       188   5.92
      33 001   County Non-Migrants       18799            41147
33 003   Carroll Total Migration  NH      1303             2194
  33 017 Strafford                NH        98   7.52       173   7.89
  33 015 Rockingham               NH        74   5.68       113   5.15
  25 017 Middlesex                Ma        59   4.53        88   4.01
  33 001 Belknap                  NH        56   4.30        90   4.10
  23 005 Cumberland               Me        51   3.91        73   3.33
  23 017 Oxford                   Me        45   3.45        94   4.28
  33 011 Hillsborough             NH        40   3.07        61   2.78
  33 009 Grafton                  NH        38   2.92        69   3.14
  25 009 Essex                    Ma        38   2.92        62   2.83
  33 013 Merrimack                NH        36   2.76        57   2.60
  23 031 York                     Me        34   2.61        61   2.78
  33 007 Coos                     NH        29   2.23        61   2.78
  25 025 Suffolk                  Ma        23   1.77        26   1.19
  57 001 Foreign / Overseas       FR        22   1.69        36   1.64
  25 021 Norfolk                  Ma        14   1.07        19    .87
  25 001 Barnstable               Ma        13   1.00        21    .96
  25 023 Plymouth                 Ma        12    .92        20    .91
  25 005 Bristol                  Ma        11    .84        22   1.00
  12 103 Pinellas                 Fl        11    .84        20    .91
  44 007 Providence               RI        10    .77        13    .59
  12 099 Palm Beach               Fl        10    .77        14    .64
  25 027 Worcester                Ma        10    .77        18    .82
   Same State                               11    .84        23   1.05
   Region 1:   Northeast                   177  13.58       314  14.31
   Region 2:   Midwest                      46   3.53        90   4.10
   Region 3:   South                       198  15.20       340  15.50
   Region 4:   West                        137  10.51       216   9.85
      33 003   County Non-Migrants       14580            30666
33 005   Cheshire Total Migration NH      1866             3303
  33 011 Hillsborough             NH       253  13.56       467  14.14
  50 025 Windham                  Vt       161   8.63       278   8.42
  33 019 Sullivan                 NH        65   3.48       130   3.94
  25 027 Worcester                Ma        61   3.27       124   3.75
  25 017 Middlesex                Ma        40   2.14        64   1.94
  33 013 Merrimack                NH        37   1.98        67   2.03
  33 015 Rockingham               NH        27   1.45        36   1.09
  25 011 Franklin                 Ma        27   1.45        48   1.45
  57 001 Foreign / Overseas       FR        23   1.23        37   1.12
  33 009 Grafton                  NH        23   1.23        43   1.30
  50 027 Windsor                  Vt        22   1.18        33   1.00
  25 025 Suffolk                  Ma        21   1.13        30    .91
  09 003 Hartford                 Ct        21   1.13        32    .97
  23 005 Cumberland               Me        20   1.07        34   1.03
  33 017 Strafford                NH        20   1.07        28    .85
  50 007 Chittenden               Vt        19   1.02        34   1.03
  25 009 Essex                    Ma        16    .86        22    .67
  09 009 New Haven                Ct        14    .75        20    .61
  25 021 Norfolk                  Ma        13    .70        16    .48
  25 015 Hampshire                Ma        13    .70        21    .64
  12 103 Pinellas                 Fl        13    .70        18    .54
  23 031 York                     Me        12    .64        23    .70
  25 013 Hampden                  Ma        12    .64        16    .48
  12 099 Palm Beach               Fl        11    .59        20    .61
  12 127 Volusia                  Fl        11    .59        20    .61
  04 013 Maricopa                 Az        11    .59        18    .54
  12 057 Hillsborough             Fl        11    .59        17    .51
  06 037 Los Angeles              Ca        11    .59        17    .51
  26 061 Houghton                 Mi        11    .59        29    .88
  06 073 San Diego                Ca        11    .59        12    .36
  09 001 Fairfield                Ct        11    .59        19    .58
  50 021 Rutland                  Vt        11    .59        19    .58
  12 115 Sarasota                 Fl        10    .54        15    .45
   Same State                               17    .91        28    .85
   Region 1:   Northeast                   272  14.58       488  14.77
   Region 2:   Midwest                     101   5.41       188   5.69
   Region 3:   South                       290  15.54       544  16.47
   Region 4:   West                        144   7.72       248   7.51
      33 005   County Non-Migrants       25336            55636
33 007   Coos Total Migration Flo NH       717             1310
  33 009 Grafton                  NH        74  10.32       130   9.92
  33 013 Merrimack                NH        43   6.00        78   5.95
  50 009 Essex                    Vt        42   5.86        76   5.80
  33 011 Hillsborough             NH        35   4.88        49   3.74
  33 003 Carroll                  NH        33   4.60        57   4.35
  57 001 Foreign / Overseas       FR        22   3.07        41   3.13
  23 017 Oxford                   Me        13   1.81        28   2.14
  33 015 Rockingham               NH        13   1.81        21   1.60
  33 017 Strafford                NH        13   1.81        17   1.30
  25 017 Middlesex                Ma        12   1.67        24   1.83
  33 005 Cheshire                 NH        10   1.39        15   1.15
  12 103 Pinellas                 Fl        10   1.39        22   1.68
   Same State                               15   2.09        30   2.29
   Region 1:   Northeast                   163  22.73       298  22.75
   Region 2:   Midwest                      28   3.91        61   4.66
   Region 3:   South                       127  17.71       244  18.63
   Region 4:   West                         64   8.93       119   9.08
      33 007   County Non-Migrants       12988            28804
33 009   Grafton Total Migration  NH      2522             4388
  50 027 Windsor                  Vt       199   7.89       360   8.20
  33 013 Merrimack                NH       136   5.39       230   5.24
  33 019 Sullivan                 NH       126   5.00       261   5.95
  33 001 Belknap                  NH       107   4.24       203   4.63
  33 011 Hillsborough             NH        86   3.41       121   2.76
  25 017 Middlesex                Ma        79   3.13       118   2.69
  50 017 Orange                   Vt        76   3.01       163   3.71
  33 007 Coos                     NH        60   2.38       117   2.67
  33 015 Rockingham               NH        58   2.30        80   1.82
  57 001 Foreign / Overseas       FR        39   1.55        62   1.41
  25 009 Essex                    Ma        37   1.47        73   1.66
  25 025 Suffolk                  Ma        36   1.43        41    .93
  50 005 Caledonia                Vt        35   1.39        64   1.46
  33 003 Carroll                  NH        33   1.31        62   1.41
  33 017 Strafford                NH        31   1.23        39    .89
  36 061 New York                 NY        30   1.19        31    .71
  50 007 Chittenden               Vt        28   1.11        45   1.03
  25 021 Norfolk                  Ma        24    .95        33    .75
  33 005 Cheshire                 NH        22    .87        46   1.05
  25 027 Worcester                Ma        22    .87        40    .91
  53 033 King                     Wa        22    .87        25    .57
  04 013 Maricopa                 Az        22    .87        35    .80
  06 037 Los Angeles              Ca        21    .83        24    .55
  23 005 Cumberland               Me        20    .79        36    .82
  17 031 Cook                     Il        18    .71        27    .62
  50 023 Washington               Vt        17    .67        25    .57
  09 003 Hartford                 Ct        17    .67        31    .71
  12 103 Pinellas                 Fl        16    .63        25    .57
  06 073 San Diego                Ca        16    .63        27    .62
  12 099 Palm Beach               Fl        16    .63        24    .55
  09 001 Fairfield                Ct        15    .59        20    .46
  09 009 New Haven                Ct        15    .59        23    .52
  06 085 Santa Clara              Ca        14    .56        18    .41
  12 011 Broward                  Fl        13    .52        21    .48
  50 019 Orleans                  Vt        12    .48        25    .57
  24 031 Montgomery               Md        12    .48        28    .64
  44 007 Providence               RI        11    .44        23    .52
  12 127 Volusia                  Fl        11    .44        17    .39
  36 119 Westchester              NY        11    .44        18    .41
  08 013 Boulder                  Co        11    .44        15    .34
  06 075 San Francisco            Ca        10    .40        13    .30
  25 005 Bristol                  Ma        10    .40        15    .34
  25 023 Plymouth                 Ma        10    .40        22    .50
  49 035 Salt Lake                Ut        10    .40        14    .32
  45 019 Charleston               SC        10    .40        19    .43
  25 001 Barnstable               Ma        10    .40        12    .27
  12 071 Lee                      Fl        10    .40        15    .34
   Region 1:   Northeast                   316  12.53       554  12.63
   Region 2:   Midwest                     112   4.44       227   5.17
   Region 3:   South                       301  11.93       590  13.45
   Region 4:   West                        149   5.91       231   5.26
      33 009   County Non-Migrants       26701            57362
33 011   Hillsborough Total Migra NH     10371            19176
  33 015 Rockingham               NH      1231  11.87      2191  11.43
  33 013 Merrimack                NH      1036   9.99      1917  10.00
  25 017 Middlesex                Ma       958   9.24      1590   8.29
  33 005 Cheshire                 NH       252   2.43       457   2.38
  25 009 Essex                    Ma       243   2.34       416   2.17
  25 025 Suffolk                  Ma       163   1.57       219   1.14
  57 001 Foreign / Overseas       FR       160   1.54       285   1.49
  25 027 Worcester                Ma       158   1.52       275   1.43
  33 017 Strafford                NH       139   1.34       222   1.16
  33 001 Belknap                  NH       136   1.31       225   1.17
  25 021 Norfolk                  Ma       124   1.20       189    .99
  33 009 Grafton                  NH       110   1.06       196   1.02
  12 103 Pinellas                 Fl        93    .90       196   1.02
  09 003 Hartford                 Ct        87    .84       143    .75
  23 005 Cumberland               Me        85    .82       127    .66
  04 013 Maricopa                 Az        83    .80       176    .92
  06 085 Santa Clara              Ca        74    .71       145    .76
  12 099 Palm Beach               Fl        70    .67       128    .67
  33 007 Coos                     NH        69    .67       143    .75
  06 037 Los Angeles              Ca        66    .64       100    .52
  06 073 San Diego                Ca        65    .63       106    .55
  23 031 York                     Me        62    .60       105    .55
  12 095 Orange                   Fl        61    .59       111    .58
  33 019 Sullivan                 NH        59    .57       103    .54
  12 011 Broward                  Fl        54    .52       102    .53
  06 059 Orange                   Ca        53    .51        84    .44
  12 009 Brevard                  Fl        52    .50       120    .63
  12 057 Hillsborough             Fl        51    .49        93    .48
  53 033 King                     Wa        51    .49        76    .40
  25 001 Barnstable               Ma        49    .47        96    .50
  33 003 Carroll                  NH        47    .45        77    .40
  12 127 Volusia                  Fl        47    .45        77    .40
  50 007 Chittenden               Vt        46    .44        75    .39
  51 059 Fairfax                  Va        45    .43       102    .53
  23 019 Penobscot                Me        44    .42        85    .44
  17 031 Cook                     Il        43    .41        78    .41
  09 001 Fairfield                Ct        42    .40        62    .32
  36 061 New York                 NY        42    .40        47    .25
  44 007 Providence               RI        42    .40        68    .35
  48 201 Harris                   Tx        41    .40        91    .47
  25 023 Plymouth                 Ma        39    .38        63    .33
  48 113 Dallas                   Tx        35    .34        80    .42
  13 121 Fulton                   Ga        34    .33        83    .43
  09 009 New Haven                Ct        33    .32        66    .34
  42 003 Allegheny                Pa        33    .32        63    .33
  32 003 Clark                    Nv        31    .30        60    .31
  25 013 Hampden                  Ma        30    .29        51    .27
  12 015 Charlotte                Fl        30    .29        62    .32
  12 115 Sarasota                 Fl        29    .28        56    .29
  25 005 Bristol                  Ma        29    .28        55    .29
  12 071 Lee                      Fl        29    .28        64    .33
  12 017 Citrus                   Fl        29    .28        71    .37
  12 021 Collier                  Fl        29    .28        48    .25
  12 117 Seminole                 Fl        28    .27        53    .28
  24 031 Montgomery               Md        27    .26        44    .23
  08 041 El Paso                  Co        27    .26        52    .27
  12 025 Dade                     Fl        26    .25        42    .22
  36 067 Onondaga                 NY        25    .24        52    .27
  37 183 Wake                     NC        25    .24        62    .32
  08 005 Arapahoe                 Co        25    .24        56    .29
  06 001 Alameda                  Ca        25    .24        58    .30
  48 439 Tarrant                  Tx        25    .24        67    .35
  24 003 Anne Arundel             Md        24    .23        51    .27
  11 001 Wash.,D.C.               DC        23    .22        24    .13
  23 011 Kennebec                 Me        23    .22        43    .22
  37 119 Mecklenburg              NC        23    .22        41    .21
  36 055 Monroe                   NY        23    .22        43    .22
  23 003 Aroostook                Me        23    .22        47    .25
  36 059 Nassau                   NY        22    .21        36    .19
  06 075 San Francisco            Ca        22    .21        25    .13
  12 101 Pasco                    Fl        22    .21        42    .22
  36 029 Erie                     NY        22    .21        47    .25
  04 019 Pima                     Az        22    .21        41    .21
  12 081 Manatee                  Fl        22    .21        39    .20
