06 001   Alameda Total Migration  Ca     35997            61078
  06 013 Contra Costa             Ca      4845  13.46      7803  12.78
  06 085 Santa Clara              Ca      4688  13.02      8476  13.88
  06 075 San Francisco            Ca      4267  11.85      6548  10.72
  06 081 San Mateo                Ca      2373   6.59      4527   7.41
  06 037 Los Angeles              Ca      1690   4.69      2820   4.62
  57 005 APO / FPO Zip Code       FR       835   2.32      1562   2.56
  06 073 San Diego                Ca       745   2.07      1281   2.10
  06 077 San Joaquin              Ca       744   2.07      1437   2.35
  06 067 Sacramento               Ca       717   1.99      1175   1.92
  57 001 Foreign / Overseas       FR       700   1.94       962   1.58
  06 095 Solano                   Ca       614   1.71      1142   1.87
  06 059 Orange                   Ca       513   1.43       843   1.38
  06 099 Stanislaus               Ca       429   1.19       919   1.50
  06 041 Marin                    Ca       386   1.07       569    .93
  06 097 Sonoma                   Ca       295    .82       475    .78
  06 087 Santa Cruz               Ca       259    .72       385    .63
  06 019 Fresno                   Ca       252    .70       486    .80
  04 013 Maricopa                 Az       250    .69       397    .65
  15 003 Honolulu                 Hi       249    .69       461    .75
  17 031 Cook                     Il       227    .63       349    .57
  53 033 King                     Wa       222    .62       366    .60
  06 053 Monterey                 Ca       205    .57       398    .65
  06 071 San Bernardino           Ca       194    .54       407    .67
  25 017 Middlesex                Ma       190    .53       276    .45
  36 061 New York                 NY       175    .49       228    .37
  06 113 Yolo                     Ca       162    .45       246    .40
  06 083 Santa Barbara            Ca       153    .43       211    .35
  06 065 Riverside                Ca       149    .41       276    .45
  32 031 Washoe                   Nv       149    .41       251    .41
  06 007 Butte                    Ca       134    .37       194    .32
  06 111 Ventura                  Ca       124    .34       282    .46
  48 201 Harris                   Tx       117    .33       200    .33
  06 055 Napa                     Ca       107    .30       170    .28
  41 051 Multnomah                Or       107    .30       175    .29
  06 079 San Luis Obispo          Ca       103    .29       144    .24
  06 029 Kern                     Ca        98    .27       199    .33
  51 059 Fairfax                  Va        97    .27       198    .32
  48 113 Dallas                   Tx        96    .27       165    .27
  11 001 Wash.,D.C.               DC        95    .26       126    .21
  06 061 Placer                   Ca        88    .24       149    .24
  25 025 Suffolk                  Ma        85    .24       125    .20
  06 047 Merced                   Ca        83    .23       178    .29
  36 047 Kings                    NY        81    .23       105    .17
  24 031 Montgomery               Md        81    .23       136    .22
  32 003 Clark                    Nv        80    .22       128    .21
  36 081 Queens                   NY        78    .22       133    .22
  04 019 Pima                     Az        72    .20       135    .22
  12 025 Dade                     Fl        70    .19       105    .17
  53 053 Pierce                   Wa        67    .19       127    .21
  06 017 El Dorado                Ca        65    .18       108    .18
  47 157 Shelby                   Tn        60    .17       114    .19
  41 039 Lane                     Or        60    .17        94    .15
  48 029 Bexar                    Tx        59    .16       128    .21
  27 053 Hennepin                 Mn        58    .16        73    .12
  42 101 Philadelphia             Pa        57    .16        79    .13
  06 023 Humboldt                 Ca        57    .16        89    .15
  35 001 Bernalillo               NM        56    .16        88    .14
  49 035 Salt Lake                Ut        55    .15       112    .18
  26 125 Oakland                  Mi        52    .14        84    .14
  17 097 Lake                     Il        52    .14       104    .17
  17 043 Du Page                  Il        52    .14        89    .15
  06 107 Tulare                   Ca        51    .14       117    .19
  48 439 Tarrant                  Tx        51    .14       102    .17
  25 021 Norfolk                  Ma        50    .14        66    .11
  08 041 El Paso                  Co        50    .14       112    .18
  26 163 Wayne                    Mi        50    .14        74    .12
  08 005 Arapahoe                 Co        50    .14        77    .13
  08 013 Boulder                  Co        50    .14        82    .13
  06 089 Shasta                   Ca        49    .14        68    .11
  09 001 Fairfield                Ct        48    .13        73    .12
  06 031 Kings                    Ca        48    .13       116    .19
  26 161 Washtenaw                Mi        47    .13        74    .12
  39 049 Franklin                 Oh        46    .13        68    .11
  22 071 Orleans                  La        45    .13        83    .14
  12 011 Broward                  Fl        44    .12        83    .14
  48 141 El Paso                  Tx        44    .12        85    .14
  24 033 Prince George's          Md        44    .12        77    .13
  48 453 Travis                   Tx        43    .12        68    .11
  06 045 Mendocino                Ca        43    .12        64    .10
  55 079 Milwaukee                Wi        43    .12        55    .09
  41 067 Washington               Or        43    .12        82    .13
  41 005 Clackamas                Or        42    .12        81    .13
  39 035 Cuyahoga                 Oh        42    .12        68    .11
  06 057 Nevada                   Ca        42    .12        78    .13
  08 031 Denver                   Co        42    .12        70    .11
  12 031 Duval                    Fl        40    .11        73    .12
  36 119 Westchester              NY        40    .11        54    .09
  36 103 Suffolk                  NY        40    .11        66    .11
  06 033 Lake                     Ca        39    .11        59    .10
  51 810 Virginia Beach city      Va        38    .11        91    .15
  13 089 De Kalb                  Ga        38    .11        60    .10
  36 059 Nassau                   NY        37    .10        52    .09
  09 009 New Haven                Ct        37    .10        61    .10
  39 061 Hamilton                 Oh        37    .10        51    .08
  06 109 Tuolumne                 Ca        36    .10        52    .09
  36 055 Monroe                   NY        35    .10        65    .11
  53 011 Clark                    Wa        35    .10        57    .09
  06 101 Sutter                   Ca        33    .09        50    .08
  09 003 Hartford                 Ct        33    .09        43    .07
  42 003 Allegheny                Pa        33    .09        52    .09
  29 189 St. Louis                Mo        33    .09        49    .08
  24 510 Baltimore city           Md        32    .09        39    .06
  08 059 Jefferson                Co        32    .09        53    .09
  34 023 Middlesex                NJ        32    .09        52    .09
  40 109 Oklahoma                 Ok        32    .09        67    .11
  25 009 Essex                    Ma        31    .09        48    .08
  12 103 Pinellas                 Fl        31    .09        46    .08
  53 035 Kitsap                   Wa        31    .09        73    .12
  53 063 Spokane                  Wa        30    .08        40    .07
  34 003 Bergen                   NJ        30    .08        50    .08
  12 099 Palm Beach               Fl        30    .08        39    .06
  25 027 Worcester                Ma        29    .08        45    .07
  22 051 Jefferson                La        29    .08        52    .09
  06 009 Calaveras                Ca        29    .08        46    .08
  13 121 Fulton                   Ga        28    .08        37    .06
  36 029 Erie                     NY        28    .08        41    .07
  34 039 Union                    NJ        28    .08        50    .08
  20 091 Johnson                  Ks        28    .08        47    .08
  42 091 Montgomery               Pa        28    .08        48    .08
  29 095 Jackson                  Mo        28    .08        49    .08
  12 033 Escambia                 Fl        27    .08        48    .08
  55 025 Dane                     Wi        27    .08        38    .06
  12 057 Hillsborough             Fl        26    .07        41    .07
  06 039 Madera                   Ca        26    .07        57    .09
  29 510 St. Louis city           Mo        25    .07        43    .07
  41 029 Jackson                  Or        25    .07        39    .06
  06 005 Amador                   Ca        25    .07        41    .07
  34 017 Hudson                   NJ        25    .07        49    .08
  24 005 Baltimore                Md        25    .07        34    .06
  34 021 Mercer                   NJ        24    .07        46    .08
  51 510 Alexandria city          Va        24    .07        40    .07
  36 005 Bronx                    NY        24    .07        39    .06
  12 095 Orange                   Fl        24    .07        48    .08
  02 020 Anchorage Borough        Ak        24    .07        46    .08
  44 007 Providence               RI        24    .07        34    .06
  51 013 Arlington                Va        23    .06        27    .04
  34 027 Morris                   NJ        23    .06        38    .06
  31 055 Douglas                  Ne        22    .06        38    .06
  51 710 Norfolk city             Va        22    .06        38    .06
  18 097 Marion                   In        22    .06        28    .05
  53 061 Snohomish                Wa        22    .06        42    .07
  37 133 Onslow                   NC        22    .06        44    .07
  49 049 Utah                     Ut        22    .06        48    .08
  40 143 Tulsa                    Ok        22    .06        41    .07
  21 111 Jefferson                Ky        21    .06        25    .04
  48 027 Bell                     Tx        21    .06        37    .06
  47 037 Davidson                 Tn        21    .06        45    .07
  10 003 New Castle               De        21    .06        33    .05
  24 003 Anne Arundel             Md        21    .06        43    .07
  42 045 Delaware                 Pa        20    .06        30    .05
  06 115 Yuba                     Ca        20    .06        43    .07
  13 067 Cobb                     Ga        20    .06        31    .05
  34 025 Monmouth                 NJ        20    .06        30    .05
  32 510 Carson City city         Nv        20    .06        33    .05
  45 019 Charleston               SC        19    .05        36    .06
  15 009 Maui                     Hi        19    .05        25    .04
  17 019 Champaign                Il        19    .05        32    .05
  34 035 Somerset                 NJ        18    .05        36    .06
  06 093 Siskiyou                 Ca        18    .05        27    .04
  39 113 Montgomery               Oh        18    .05        34    .06
  25 013 Hampden                  Ma        18    .05        22    .04
  34 013 Essex                    NJ        18    .05        21    .03
  25 015 Hampshire                Ma        18    .05        22    .04
  26 099 Macomb                   Mi        18    .05        35    .06
  41 003 Benton                   Or        18    .05        31    .05
  01 073 Jefferson                Al        18    .05        33    .05
  05 119 Pulaski                  Ar        18    .05        33    .05
  36 109 Tompkins                 NY        17    .05        18    .03
  26 065 Ingham                   Mi        17    .05        17    .03
  18 105 Monroe                   In        17    .05        22    .04
  09 011 New London               Ct        17    .05        34    .06
  27 123 Ramsey                   Mn        17    .05        23    .04
  12 117 Seminole                 Fl        17    .05        28    .05
  04 027 Yuma                     Az        17    .05        38    .06
  41 047 Marion                   Or        16    .04        25    .04
  34 007 Camden                   NJ        16    .04        31    .05
  48 121 Denton                   Tx        16    .04        25    .04
  36 067 Onondaga                 NY        16    .04        20    .03
  51 700 Newport News city        Va        16    .04        34    .06
  51 650 Hampton city             Va        16    .04        22    .04
  18 089 Lake                     In        16    .04        19    .03
  36 071 Orange                   NY        16    .04        21    .03
  25 023 Plymouth                 Ma        16    .04        31    .05
  16 019 Bonneville               Id        16    .04        37    .06
  42 017 Bucks                    Pa        16    .04        21    .03
  13 051 Chatham                  Ga        16    .04        25    .04
  35 049 Santa Fe                 NM        15    .04        24    .04
  06 025 Imperial                 Ca        15    .04        43    .07
  48 355 Nueces                   Tx        15    .04        35    .06
  13 135 Gwinnett                 Ga        15    .04        24    .04
  22 033 East Baton Rouge         La        15    .04        26    .04
  50 007 Chittenden               Vt        14    .04        16    .03
  06 063 Plumas                   Ca        14    .04        24    .04
  37 063 Durham                   NC        14    .04        21    .03
  22 115 Vernon                   La        14    .04        25    .04
  34 031 Passaic                  NJ        14    .04        25    .04
  53 073 Whatcom                  Wa        14    .04        24    .04
  53 029 Island                   Wa        14    .04        40    .07
  06 069 San Benito               Ca        13    .04        23    .04
  37 119 Mecklenburg              NC        13    .04        22    .04
  16 001 Ada                      Id        13    .04        25    .04
  25 005 Bristol                  Ma        13    .04        21    .03
  41 017 Deschutes                Or        13    .04        22    .04
  53 077 Yakima                   Wa        13    .04        34    .06
  36 085 Richmond                 NY        13    .04        24    .04
  57 007 Foreign / Virgin Islands FR        13    .04        47    .08
  18 157 Tippecanoe               In        13    .04        15    .02
  26 077 Kalamazoo                Mi        12    .03        15    .02
  24 027 Howard                   Md        12    .03        21    .03
  41 035 Klamath                  Or        12    .03        16    .03
  39 153 Summit                   Oh        12    .03        24    .04
  49 011 Davis                    Ut        12    .03        26    .04
  04 005 Coconino                 Az        12    .03        13    .02
  48 245 Jefferson                Tx        12    .03        22    .04
  32 005 Douglas                  Nv        12    .03        16    .03
  53 005 Benton                   Wa        12    .03        25    .04
  15 001 Hawaii                   Hi        12    .03        19    .03
  20 045 Douglas                  Ks        11    .03        14    .02
  39 095 Lucas                    Oh        11    .03        16    .03
  06 043 Mariposa                 Ca        11    .03        17    .03
  40 027 Cleveland                Ok        11    .03        17    .03
  20 173 Sedgwick                 Ks        11    .03        15    .02
  22 103 St. Tammany              La        11    .03        23    .04
  02 090 Fairbanks North Star Bor Ak        11    .03        24    .04
  12 009 Brevard                  Fl        11    .03        19    .03
  17 143 Peoria                   Il        11    .03        14    .02
  06 103 Tehama                   Ca        11    .03        21    .03
  08 001 Adams                    Co        11    .03        25    .04
  53 067 Thurston                 Wa        11    .03        15    .02
  01 097 Mobile                   Al        11    .03        24    .04
  12 115 Sarasota                 Fl        11    .03        17    .03
  48 085 Collin                   Tx        11    .03        28    .05
  36 027 Dutchess                 NY        11    .03        22    .04
  37 051 Cumberland               NC        10    .03        16    .03
  36 091 Saratoga                 NY        10    .03        16    .03
  47 093 Knox                     Tn        10    .03        18    .03
  18 003 Allen                    In        10    .03        13    .02
  19 153 Polk                     Ia        10    .03        19    .03
  36 087 Rockland                 NY        10    .03        18    .03
  37 049 Craven                   NC        10    .03        25    .04
  51 740 Portsmouth city          Va        10    .03        17    .03
  36 001 Albany                   NY        10    .03        14    .02
  42 027 Centre                   Pa        10    .03        11    .02
  08 123 Weld                     Co        10    .03        16    .03
  23 005 Cumberland               Me        10    .03        13    .02
  37 081 Guilford                 NC        10    .03        12    .02
  08 069 Larimer                  Co        10    .03        18    .03
  15 007 Kauai                    Hi        10    .03        10    .02
  37 183 Wake                     NC        10    .03        19    .03
  34 029 Ocean                    NJ        10    .03        13    .02
   Same State                               41    .11        63    .10
   Region 1:   Northeast                   381   1.06       574    .94
   Region 2:   Midwest                     688   1.91      1099   1.80
   Region 3:   South                       915   2.54      1627   2.66
   Region 4:   West                        408   1.13       772   1.26
      06 001   County Non-Migrants      446402           927356
06 003   Alpine Total Migration F Ca        45               75
   All Migration Flows                      45 100.00        75 100.00
      06 003   County Non-Migrants         305              628
06 005   Amador Total Migration F Ca      1052             2079
  06 067 Sacramento               Ca       182  17.30       371  17.85
  06 077 San Joaquin              Ca        88   8.37       181   8.71
  06 085 Santa Clara              Ca        77   7.32       151   7.26
  06 001 Alameda                  Ca        71   6.75       145   6.97
  06 037 Los Angeles              Ca        67   6.37       104   5.00
  06 009 Calaveras                Ca        55   5.23       124   5.96
  06 017 El Dorado                Ca        39   3.71        81   3.90
  06 013 Contra Costa             Ca        31   2.95        59   2.84
  06 081 San Mateo                Ca        28   2.66        50   2.41
  06 061 Placer                   Ca        20   1.90        45   2.16
  06 073 San Diego                Ca        17   1.62        27   1.30
  06 059 Orange                   Ca        17   1.62        27   1.30
  06 113 Yolo                     Ca        14   1.33        34   1.64
  06 099 Stanislaus               Ca        13   1.24        20    .96
  06 095 Solano                   Ca        13   1.24        26   1.25
  06 097 Sonoma                   Ca        12   1.14        25   1.20
  06 079 San Luis Obispo          Ca        12   1.14        28   1.35
  06 111 Ventura                  Ca        12   1.14        20    .96
  06 071 San Bernardino           Ca        12   1.14        26   1.25
  57 005 APO / FPO Zip Code       FR        10    .95        19    .91
   Same State                              124  11.79       254  12.22
   Same Region, Diff. State                 88   8.37       174   8.37
   Different Region                         50   4.75        88   4.23
      06 005   County Non-Migrants        9684            21199
06 007   Butte Total Migration Fl Ca      4979             9009
  06 067 Sacramento               Ca       356   7.15       608   6.75
  06 085 Santa Clara              Ca       309   6.21       527   5.85
  06 037 Los Angeles              Ca       275   5.52       503   5.58
  06 001 Alameda                  Ca       198   3.98       327   3.63
  06 013 Contra Costa             Ca       176   3.53       278   3.09
  06 089 Shasta                   Ca       171   3.43       291   3.23
  06 021 Glenn                    Ca       158   3.17       303   3.36
  06 101 Sutter                   Ca       152   3.05       339   3.76
  06 073 San Diego                Ca       150   3.01       262   2.91
  06 059 Orange                   Ca       130   2.61       233   2.59
  06 103 Tehama                   Ca       122   2.45       235   2.61
  06 097 Sonoma                   Ca       103   2.07       177   1.96
  06 081 San Mateo                Ca        99   1.99       162   1.80
  06 061 Placer                   Ca        94   1.89       157   1.74
  06 111 Ventura                  Ca        90   1.81       145   1.61
  06 115 Yuba                     Ca        89   1.79       187   2.08
  06 077 San Joaquin              Ca        85   1.71       173   1.92
  06 065 Riverside                Ca        64   1.29       129   1.43
  06 075 San Francisco            Ca        63   1.27        81    .90
  06 057 Nevada                   Ca        62   1.25        88    .98
  06 095 Solano                   Ca        61   1.23       138   1.53
  06 071 San Bernardino           Ca        56   1.12       117   1.30
  06 113 Yolo                     Ca        55   1.10       107   1.19
  06 087 Santa Cruz               Ca        55   1.10        95   1.05
  06 083 Santa Barbara            Ca        55   1.10       106   1.18
  06 063 Plumas                   Ca        55   1.10       102   1.13
  32 031 Washoe                   Nv        54   1.08        86    .95
  06 017 El Dorado                Ca        52   1.04       106   1.18
  06 019 Fresno                   Ca        48    .96       118   1.31
  06 053 Monterey                 Ca        47    .94        84    .93
  06 023 Humboldt                 Ca        46    .92        61    .68
  06 079 San Luis Obispo          Ca        43    .86        72    .80
  57 005 APO / FPO Zip Code       FR        43    .86        91   1.01
  06 093 Siskiyou                 Ca        43    .86        71    .79
  06 099 Stanislaus               Ca        42    .84        74    .82
  06 035 Lassen                   Ca        40    .80        61    .68
  06 045 Mendocino                Ca        40    .80        68    .75
  06 055 Napa                     Ca        39    .78        67    .74
  06 029 Kern                     Ca        35    .70        64    .71
  57 001 Foreign / Overseas       FR        34    .68        47    .52
  04 013 Maricopa                 Az        28    .56        53    .59
  06 041 Marin                    Ca        28    .56        53    .59
  06 107 Tulare                   Ca        27    .54        50    .56
  32 003 Clark                    Nv        22    .44        29    .32
  41 039 Lane                     Or        21    .42        33    .37
  06 011 Colusa                   Ca        21    .42        45    .50
  06 033 Lake                     Ca        20    .40        35    .39
  53 033 King                     Wa        20    .40        39    .43
  41 029 Jackson                  Or        17    .34        30    .33
  41 051 Multnomah                Or        16    .32        34    .38
  06 047 Merced                   Ca        16    .32        29    .32
  06 069 San Benito               Ca        15    .30        35    .39
  41 067 Washington               Or        15    .30        33    .37
  53 053 Pierce                   Wa        13    .26        23    .26
  15 003 Honolulu                 Hi        12    .24        31    .34
  06 109 Tuolumne                 Ca        12    .24        23    .26
  48 201 Harris                   Tx        11    .22        18    .20
  53 011 Clark                    Wa        10    .20        20    .22
  06 005 Amador                   Ca        10    .20        16    .18
  06 049 Modoc                    Ca        10    .20        13    .14
   Same State                               62   1.25        94   1.04
   Region 1:   Northeast                    47    .94        69    .77
   Region 2:   Midwest                     138   2.77       268   2.97
   Region 3:   South                       199   4.00       385   4.27
   Region 4:   West                        300   6.03       611   6.78
      06 007   County Non-Migrants       55811           121220
06 009   Calaveras Total Migratio Ca      1286             2767
