12 001   Alachua Total Migration  Fl      7039            11865
  12 025 Dade                     Fl       295   4.19       451   3.80
  12 011 Broward                  Fl       274   3.89       394   3.32
  12 083 Marion                   Fl       269   3.82       529   4.46
  12 103 Pinellas                 Fl       261   3.71       378   3.19
  12 031 Duval                    Fl       257   3.65       464   3.91
  12 095 Orange                   Fl       245   3.48       377   3.18
  12 099 Palm Beach               Fl       237   3.37       330   2.78
  12 057 Hillsborough             Fl       202   2.87       295   2.49
  57 001 Foreign / Overseas       FR       164   2.33       222   1.87
  12 009 Brevard                  Fl       150   2.13       232   1.96
  12 107 Putnam                   Fl       144   2.05       302   2.55
  12 075 Levy                     Fl       140   1.99       279   2.35
  12 023 Columbia                 Fl       118   1.68       245   2.06
  12 117 Seminole                 Fl       112   1.59       181   1.53
  12 073 Leon                     Fl       111   1.58       153   1.29
  12 127 Volusia                  Fl       107   1.52       148   1.25
  12 019 Clay                     Fl        97   1.38       176   1.48
  57 005 APO / FPO Zip Code       FR        95   1.35       209   1.76
  12 007 Bradford                 Fl        94   1.34       197   1.66
  12 071 Lee                      Fl        89   1.26       136   1.15
  12 115 Sarasota                 Fl        82   1.16       120   1.01
  12 105 Polk                     Fl        72   1.02       116    .98
  12 081 Manatee                  Fl        62    .88        95    .80
  12 041 Gilchrist                Fl        59    .84       101    .85
  12 069 Lake                     Fl        53    .75        81    .68
  12 033 Escambia                 Fl        48    .68        83    .70
  12 017 Citrus                   Fl        48    .68        86    .72
  12 109 St. Johns                Fl        43    .61        72    .61
  12 101 Pasco                    Fl        41    .58        63    .53
  12 121 Suwannee                 Fl        41    .58        67    .56
  12 021 Collier                  Fl        41    .58        67    .56
  12 087 Monroe                   Fl        40    .57        54    .46
  12 125 Union                    Fl        39    .55        70    .59
  12 111 St. Lucie                Fl        38    .54        59    .50
  12 005 Bay                      Fl        35    .50        56    .47
  12 085 Martin                   Fl        35    .50        47    .40
  51 059 Fairfax                  Va        34    .48        59    .50
  17 031 Cook                     Il        28    .40        55    .46
  12 029 Dixie                    Fl        28    .40        48    .40
  12 097 Osceola                  Fl        27    .38        46    .39
  12 055 Highlands                Fl        25    .36        39    .33
  12 091 Okaloosa                 Fl        25    .36        35    .29
  24 031 Montgomery               Md        24    .34        42    .35
  36 103 Suffolk                  NY        24    .34        40    .34
  12 053 Hernando                 Fl        24    .34        45    .38
  13 067 Cobb                     Ga        23    .33        36    .30
  13 121 Fulton                   Ga        21    .30        29    .24
  48 201 Harris                   Tx        20    .28        25    .21
  06 037 Los Angeles              Ca        20    .28        25    .21
  25 017 Middlesex                Ma        20    .28        27    .23
  06 073 San Diego                Ca        19    .27        36    .30
  13 135 Gwinnett                 Ga        19    .27        36    .30
  36 047 Kings                    NY        18    .26        31    .26
  01 073 Jefferson                Al        18    .26        36    .30
  13 089 De Kalb                  Ga        17    .24        22    .19
  39 049 Franklin                 Oh        17    .24        29    .24
  39 035 Cuyahoga                 Oh        17    .24        25    .21
  47 157 Shelby                   Tn        17    .24        26    .22
  34 023 Middlesex                NJ        16    .23        32    .27
  11 001 Wash.,D.C.               DC        16    .23        17    .14
  36 061 New York                 NY        16    .23        22    .19
  12 061 Indian River             Fl        16    .23        23    .19
  04 013 Maricopa                 Az        15    .21        23    .19
  45 079 Richland                 SC        15    .21        27    .23
  51 810 Virginia Beach city      Va        15    .21        32    .27
  12 015 Charlotte                Fl        15    .21        32    .27
  15 003 Honolulu                 Hi        15    .21        29    .24
  42 101 Philadelphia             Pa        14    .20        23    .19
  36 059 Nassau                   NY        14    .20        16    .13
  37 133 Onslow                   NC        13    .18        23    .19
  25 027 Worcester                Ma        13    .18        24    .20
  48 113 Dallas                   Tx        13    .18        22    .19
  12 113 Santa Rosa               Fl        13    .18        18    .15
  42 003 Allegheny                Pa        13    .18        23    .19
  45 019 Charleston               SC        13    .18        17    .14
  36 081 Queens                   NY        13    .18        14    .12
  37 051 Cumberland               NC        13    .18        21    .18
  34 003 Bergen                   NJ        13    .18        18    .15
  26 163 Wayne                    Mi        12    .17        17    .14
  36 055 Monroe                   NY        12    .17        23    .19
  17 043 Du Page                  Il        12    .17        23    .19
  37 183 Wake                     NC        12    .17        24    .20
  37 119 Mecklenburg              NC        12    .17        26    .22
  55 025 Dane                     Wi        12    .17        19    .16
  21 067 Fayette                  Ky        12    .17        22    .19
  24 005 Baltimore                Md        12    .17        22    .19
  47 037 Davidson                 Tn        11    .16        23    .19
  08 041 El Paso                  Co        11    .16        24    .20
  25 025 Suffolk                  Ma        11    .16        20    .17
  09 001 Fairfield                Ct        11    .16        16    .13
  12 039 Gadsden                  Fl        11    .16        18    .15
  37 067 Forsyth                  NC        11    .16        14    .12
  06 071 San Bernardino           Ca        10    .14        15    .13
  36 119 Westchester              NY        10    .14        20    .17
  06 075 San Francisco            Ca        10    .14        14    .12
  01 097 Mobile                   Al        10    .14        17    .14
  12 035 Flagler                  Fl        10    .14        16    .13
  13 185 Lowndes                  Ga        10    .14        20    .17
  24 033 Prince George's          Md        10    .14        17    .14
  01 101 Montgomery               Al        10    .14        24    .20
   Same State                               91   1.29       161   1.36
   Region 1:   Northeast                   341   4.84       550   4.64
   Region 2:   Midwest                     410   5.82       731   6.16
   Region 3:   South                       737  10.47      1394  11.75
   Region 4:   West                        211   3.00       412   3.47
      12 001   County Non-Migrants       57620           122693
12 003   Baker Total Migration Fl Fl       430              977
  12 031 Duval                    Fl       177  41.16       416  42.58
  12 019 Clay                     Fl        24   5.58        55   5.63
  12 023 Columbia                 Fl        19   4.42        39   3.99
  12 089 Nassau                   Fl        18   4.19        44   4.50
  13 049 Charlton                 Ga        12   2.79        24   2.46
   Same State                               83  19.30       174  17.81
   Region 1:   Northeast                    10   2.33        23   2.35
   Region 2:   Midwest                      12   2.79        27   2.76
   Region 3:   South                        64  14.88       153  15.66
   Region 4:   West                         11   2.56        22   2.25
      12 003   County Non-Migrants        5111            13348
12 005   Bay Total Migration Flow Fl      5174            10967
  57 005 APO / FPO Zip Code       FR       574  11.09      1456  13.28
  12 073 Leon                     Fl       133   2.57       226   2.06
  12 091 Okaloosa                 Fl        96   1.86       201   1.83
  12 045 Gulf                     Fl        93   1.80       187   1.71
  12 033 Escambia                 Fl        82   1.58       165   1.50
  12 031 Duval                    Fl        66   1.28       145   1.32
  01 073 Jefferson                Al        62   1.20       118   1.08
  12 133 Washington               Fl        58   1.12       112   1.02
  12 095 Orange                   Fl        58   1.12       106    .97
  12 057 Hillsborough             Fl        50    .97       103    .94
  12 063 Jackson                  Fl        48    .93        91    .83
  12 011 Broward                  Fl        46    .89        76    .69
  04 013 Maricopa                 Az        38    .73        91    .83
  01 101 Montgomery               Al        36    .70        64    .58
  48 029 Bexar                    Tx        34    .66        79    .72
  01 069 Houston                  Al        34    .66        75    .68
  51 650 Hampton city             Va        33    .64        87    .79
  15 003 Honolulu                 Hi        32    .62        78    .71
  01 097 Mobile                   Al        32    .62        53    .48
  48 201 Harris                   Tx        32    .62        68    .62
  13 067 Cobb                     Ga        32    .62        52    .47
  13 095 Dougherty                Ga        31    .60        56    .51
  12 103 Pinellas                 Fl        31    .60        58    .53
  13 121 Fulton                   Ga        30    .58        50    .46
  12 131 Walton                   Fl        30    .58        59    .54
  12 025 Dade                     Fl        30    .58        58    .53
  12 099 Palm Beach               Fl        29    .56        62    .57
  28 047 Harrison                 Ms        29    .56        66    .60
  51 810 Virginia Beach city      Va        29    .56        83    .76
  06 037 Los Angeles              Ca        29    .56        46    .42
  32 003 Clark                    Nv        27    .52        66    .60
  13 135 Gwinnett                 Ga        26    .50        51    .47
  12 009 Brevard                  Fl        26    .50        50    .46
  35 035 Otero                    NM        26    .50        96    .88
  08 041 El Paso                  Co        26    .50        60    .55
  12 013 Calhoun                  Fl        25    .48        49    .45
  12 059 Holmes                   Fl        25    .48        39    .36
  13 089 De Kalb                  Ga        24    .46        45    .41
  12 113 Santa Rosa               Fl        24    .46        53    .48
  12 127 Volusia                  Fl        23    .44        49    .45
  12 037 Franklin                 Fl        23    .44        47    .43
  06 073 San Diego                Ca        23    .44        47    .43
  02 020 Anchorage Borough        Ak        22    .43        62    .57
  45 019 Charleston               SC        21    .41        42    .38
  12 105 Polk                     Fl        21    .41        44    .40
  16 039 Elmore                   Id        20    .39        72    .66
  12 101 Pasco                    Fl        19    .37        32    .29
  12 117 Seminole                 Fl        19    .37        40    .36
  51 199 York                     Va        18    .35        58    .53
  48 113 Dallas                   Tx        18    .35        35    .32
  01 045 Dale                     Al        17    .33        30    .27
  12 001 Alachua                  Fl        17    .33        31    .28
  57 001 Foreign / Overseas       FR        17    .33        39    .36
  48 485 Wichita                  Tx        17    .33        42    .38
  47 157 Shelby                   Tn        16    .31        39    .36
  47 037 Davidson                 Tn        16    .31        21    .19
  39 113 Montgomery               Oh        16    .31        45    .41
  22 033 East Baton Rouge         La        16    .31        35    .32
  45 085 Sumter                   SC        16    .31        31    .28
  12 115 Sarasota                 Fl        16    .31        32    .29
  23 019 Penobscot                Me        16    .31        48    .44
  12 081 Manatee                  Fl        16    .31        28    .26
  12 097 Osceola                  Fl        16    .31        38    .35
  22 051 Jefferson                La        15    .29        25    .23
  12 039 Gadsden                  Fl        15    .29        31    .28
  51 153 Prince William           Va        14    .27        30    .27
  51 710 Norfolk city             Va        14    .27        44    .40
  01 031 Coffee                   Al        14    .27        29    .26
  17 031 Cook                     Il        14    .27        21    .19
  40 109 Oklahoma                 Ok        13    .25        46    .42
  31 153 Sarpy                    Ne        13    .25        37    .34
  01 081 Lee                      Al        13    .25        27    .25
  06 071 San Bernardino           Ca        13    .25        39    .36
  13 153 Houston                  Ga        13    .25        32    .29
  05 119 Pulaski                  Ar        13    .25        21    .19
  22 079 Rapides                  La        13    .25        39    .36
  02 090 Fairbanks North Star Bor Ak        13    .25        33    .30
  48 453 Travis                   Tx        13    .25        32    .29
  13 063 Clayton                  Ga        13    .25        29    .26
  21 111 Jefferson                Ky        13    .25        25    .23
  37 119 Mecklenburg              NC        13    .25        19    .17
  08 031 Denver                   Co        13    .25        27    .25
  01 015 Calhoun                  Al        12    .23        22    .20
  13 185 Lowndes                  Ga        12    .23        26    .24
  17 163 St. Clair                Il        12    .23        37    .34
  17 097 Lake                     Il        12    .23        14    .13
  12 083 Marion                   Fl        12    .23        24    .22
  13 215 Muscogee                 Ga        12    .23        22    .20
  47 065 Hamilton                 Tn        12    .23        22    .20
  12 071 Lee                      Fl        12    .23        19    .17
  01 003 Baldwin                  Al        12    .23        17    .16
  28 059 Jackson                  Ms        11    .21        22    .20
  12 087 Monroe                   Fl        11    .21        24    .22
  28 087 Lowndes                  Ms        11    .21        21    .19
  01 125 Tuscaloosa               Al        11    .21        17    .16
  06 067 Sacramento               Ca        11    .21        22    .20
  51 059 Fairfax                  Va        11    .21        25    .23
  25 017 Middlesex                Ma        11    .21        23    .21
  22 103 St. Tammany              La        11    .21        35    .32
  26 163 Wayne                    Mi        11    .21        19    .17
  24 031 Montgomery               Md        11    .21        13    .12
  39 061 Hamilton                 Oh        10    .19        20    .18
  01 061 Geneva                   Al        10    .19        23    .21
  01 113 Russell                  Al        10    .19        30    .27
  26 125 Oakland                  Mi        10    .19        21    .19
  48 439 Tarrant                  Tx        10    .19        22    .20
   Same State                              105   2.03       214   1.95
   Region 1:   Northeast                   328   6.34       622   5.67
   Region 2:   Midwest                     410   7.92       783   7.14
   Region 3:   South                       978  18.90      2074  18.91
   Region 4:   West                        215   4.16       449   4.09
   Foreign                                  10    .19        32    .29
      12 005   County Non-Migrants       42536            94847
12 007   Bradford Total Migration Fl       548             1169
  12 001 Alachua                  Fl       100  18.25       206  17.62
  12 031 Duval                    Fl        58  10.58       123  10.52
  12 019 Clay                     Fl        44   8.03        89   7.61
  12 125 Union                    Fl        37   6.75        88   7.53
  12 003 Baker                    Fl        12   2.19        31   2.65
  12 057 Hillsborough             Fl        10   1.82        25   2.14
  12 095 Orange                   Fl        10   1.82        22   1.88
   Same State                              123  22.45       262  22.41
   Same Region, Diff. State                 98  17.88       199  17.02
   Different Region                         56  10.22       124  10.61
      12 007   County Non-Migrants        6107            14827
12 009   Brevard Total Migration  Fl     13067            25807
  12 095 Orange                   Fl       670   5.13      1135   4.40
  57 005 APO / FPO Zip Code       FR       605   4.63      1455   5.64
  12 011 Broward                  Fl       364   2.79       683   2.65
  12 061 Indian River             Fl       327   2.50       622   2.41
  36 103 Suffolk                  NY       295   2.26       630   2.44
  12 025 Dade                     Fl       280   2.14       555   2.15
  12 099 Palm Beach               Fl       276   2.11       509   1.97
  12 117 Seminole                 Fl       232   1.78       418   1.62
  12 127 Volusia                  Fl       221   1.69       419   1.62
  12 057 Hillsborough             Fl       173   1.32       319   1.24
  12 103 Pinellas                 Fl       168   1.29       297   1.15
  12 031 Duval                    Fl       138   1.06       286   1.11
  06 037 Los Angeles              Ca       122    .93       237    .92
  36 059 Nassau                   NY       110    .84       220    .85
  36 081 Queens                   NY       105    .80       218    .84
  12 001 Alachua                  Fl       105    .80       160    .62
  51 059 Fairfax                  Va       104    .80       219    .85
  12 097 Osceola                  Fl       102    .78       185    .72
  57 001 Foreign / Overseas       FR       101    .77       173    .67
  36 047 Kings                    NY        91    .70       224    .87
  12 111 St. Lucie                Fl        89    .68       186    .72
  17 031 Cook                     Il        87    .67       143    .55
  12 105 Polk                     Fl        80    .61       156    .60
  09 003 Hartford                 Ct        80    .61       144    .56
  25 017 Middlesex                Ma        75    .57       140    .54
  09 001 Fairfield                Ct        74    .57       127    .49
  09 009 New Haven                Ct        69    .53       138    .53
  25 009 Essex                    Ma        68    .52       136    .53
  06 073 San Diego                Ca        66    .51       135    .52
  36 005 Bronx                    NY        64    .49       147    .57
  06 083 Santa Barbara            Ca        62    .47       168    .65
  06 059 Orange                   Ca        62    .47       127    .49
  34 003 Bergen                   NJ        60    .46       114    .44
  12 085 Martin                   Fl        59    .45       116    .45
  09 011 New London               Ct        59    .45        90    .35
  12 073 Leon                     Fl        56    .43        82    .32
  36 119 Westchester              NY        55    .42       113    .44
  12 069 Lake                     Fl        54    .41       117    .45
  15 003 Honolulu                 Hi        54    .41       119    .46
  12 083 Marion                   Fl        54    .41        93    .36
  08 041 El Paso                  Co        54    .41       135    .52
  34 029 Ocean                    NJ        54    .41        99    .38
  12 115 Sarasota                 Fl        52    .40        77    .30
  42 003 Allegheny                Pa        51    .39        82    .32
  12 071 Lee                      Fl        51    .39       113    .44
  34 025 Monmouth                 NJ        50    .38        94    .36
  34 023 Middlesex                NJ        50    .38        93    .36
  28 047 Harrison                 Ms        50    .38       119    .46
  24 031 Montgomery               Md        50    .38        90    .35
  26 125 Oakland                  Mi        49    .37        89    .34
  39 113 Montgomery               Oh        48    .37        97    .38
  04 013 Maricopa                 Az        47    .36       106    .41
  12 087 Monroe                   Fl        47    .36        96    .37
  48 201 Harris                   Tx        46    .35        99    .38
  12 091 Okaloosa                 Fl        46    .35       110    .43
  33 011 Hillsborough             NH        44    .34        92    .36
  44 007 Providence               RI        43    .33        77    .30
  34 031 Passaic                  NJ        43    .33        76    .29
  48 029 Bexar                    Tx        41    .31        95    .37
  13 121 Fulton                   Ga        41    .31        64    .25
  12 021 Collier                  Fl        41    .31        70    .27
  25 013 Hampden                  Ma        39    .30        79    .31
  25 023 Plymouth                 Ma        39    .30        72    .28
  34 027 Morris                   NJ        38    .29        73    .28
  01 089 Madison                  Al        38    .29        85    .33
  18 097 Marion                   In        38    .29        81    .31
  25 027 Worcester                Ma        37    .28        68    .26
  32 003 Clark                    Nv        37    .28        78    .30
  24 033 Prince George's          Md        37    .28        81    .31
  29 189 St. Louis                Mo        37    .28        66    .26
  33 015 Rockingham               NH        37    .28        82    .32
  48 113 Dallas                   Tx        36    .28        59    .23
  36 029 Erie                     NY        35    .27        57    .22
  42 017 Bucks                    Pa        35    .27        74    .29
  34 005 Burlington               NJ        35    .27        79    .31
  45 019 Charleston               SC        35    .27        66    .26
  26 163 Wayne                    Mi        35    .27        64    .25
  12 005 Bay                      Fl        35    .27        83    .32
  51 810 Virginia Beach city      Va        35    .27        78    .30
  12 101 Pasco                    Fl        35    .27        53    .21
  39 061 Hamilton                 Oh        34    .26        72    .28
  51 153 Prince William           Va        34    .26        82    .32
  39 049 Franklin                 Oh        33    .25        55    .21
  12 033 Escambia                 Fl        33    .25        72    .28
  24 005 Baltimore                Md        32    .24        60    .23
  13 067 Cobb                     Ga        31    .24        69    .27
  34 039 Union                    NJ        31    .24        59    .23
  42 101 Philadelphia             Pa        31    .24        72    .28
  13 089 De Kalb                  Ga        31    .24        56    .22
  36 055 Monroe                   NY        31    .24        48    .19
  36 061 New York                 NY        30    .23        48    .19
  25 025 Suffolk                  Ma        30    .23        43    .17
  37 051 Cumberland               NC        30    .23        66    .26
  12 081 Manatee                  Fl        29    .22        65    .25
  24 510 Baltimore city           Md        29    .22        44    .17
  24 003 Anne Arundel             Md        29    .22        55    .21
  53 033 King                     Wa        27    .21        47    .18
  34 007 Camden                   NJ        27    .21        58    .22
  48 439 Tarrant                  Tx        26    .20        50    .19
  40 109 Oklahoma                 Ok        25    .19        61    .24
  34 013 Essex                    NJ        25    .19        56    .22
  13 135 Gwinnett                 Ga        25    .19        52    .20
  37 119 Mecklenburg              NC        25    .19        39    .15
  12 109 St. Johns                Fl        24    .18        45    .17
  36 065 Oneida                   NY        24    .18        49    .19
  12 017 Citrus                   Fl        24    .18        40    .15
  06 071 San Bernardino           Ca        24    .18        62    .24
  42 091 Montgomery               Pa        24    .18        45    .17
  01 073 Jefferson                Al        23    .18        42    .16
  17 163 St. Clair                Il        23    .18        63    .24
  26 099 Macomb                   Mi        23    .18        41    .16
  25 005 Bristol                  Ma        23    .18        38    .15
  36 067 Onondaga                 NY        23    .18        42    .16
  08 059 Jefferson                Co        22    .17        52    .20
  37 133 Onslow                   NC        22    .17        45    .17
  34 001 Atlantic                 NJ        22    .17        37    .14
  35 001 Bernalillo               NM        22    .17        54    .21
  39 035 Cuyahoga                 Oh        22    .17        34    .13
  25 021 Norfolk                  Ma        21    .16        35    .14
  06 085 Santa Clara              Ca        21    .16        39    .15
  47 037 Davidson                 Tn        21    .16        34    .13
  21 111 Jefferson                Ky        21    .16        41    .16
  51 013 Arlington                Va        21    .16        31    .12
  54 039 Kanawha                  WV        21    .16        40    .15
  25 001 Barnstable               Ma        21    .16        37    .14
  06 067 Sacramento               Ca        21    .16        53    .21
  12 019 Clay                     Fl        21    .16        46    .18
  27 053 Hennepin                 Mn        21    .16        33    .13
  36 007 Broome                   NY        21    .16        37    .14
  06 065 Riverside                Ca        21    .16        39    .15
  13 051 Chatham                  Ga        20    .15        38    .15
  06 111 Ventura                  Ca        20    .15        36    .14
  36 071 Orange                   NY        20    .15        42    .16
  08 005 Arapahoe                 Co        20    .15        43    .17
  45 085 Sumter                   SC        20    .15        47    .18
  34 017 Hudson                   NJ        20    .15        43    .17
  36 027 Dutchess                 NY        20    .15        46    .18
  48 453 Travis                   Tx        20    .15        39    .15
  12 055 Highlands                Fl        19    .15        41    .16
  11 001 Wash.,D.C.               DC        19    .15        47    .18
  51 710 Norfolk city             Va        19    .15        36    .14
  12 053 Hernando                 Fl        19    .15        42    .16
