33 001   Belknap Total Migration  NH      1462             2681
  33 013 Merrimack                NH       323  22.09       632  23.57
  33 011 Hillsborough             NH       126   8.62       228   8.50
  33 009 Grafton                  NH       113   7.73       214   7.98
  25 017 Middlesex                Ma        97   6.63       175   6.53
  33 017 Strafford                NH        77   5.27       141   5.26
  33 015 Rockingham               NH        73   4.99       136   5.07
  33 003 Carroll                  NH        62   4.24       100   3.73
  25 009 Essex                    Ma        50   3.42       101   3.77
  25 021 Norfolk                  Ma        32   2.19        53   1.98
  25 027 Worcester                Ma        19   1.30        37   1.38
  57 005 APO / FPO Zip Code       FR        16   1.09        22    .82
  33 007 Coos                     NH        15   1.03        24    .90
  09 003 Hartford                 Ct        14    .96        21    .78
  25 025 Suffolk                  Ma        13    .89        18    .67
  25 023 Plymouth                 Ma        13    .89        25    .93
  33 019 Sullivan                 NH        12    .82        21    .78
  09 001 Fairfield                Ct        12    .82        18    .67
  33 005 Cheshire                 NH        12    .82        16    .60
  12 103 Pinellas                 Fl        11    .75        17    .63
  23 031 York                     Me        10    .68        19    .71
   Region 1:   Northeast                   162  11.08       318  11.86
   Region 2:   Midwest                      24   1.64        40   1.49
   Region 3:   South                       120   8.21       203   7.57
   Region 4:   West                         56   3.83       102   3.80
      33 001   County Non-Migrants       18505            40577
33 003   Carroll Total Migration  NH      1218             2201
  33 017 Strafford                NH        98   8.05       192   8.72
  25 017 Middlesex                Ma        90   7.39       158   7.18
  25 009 Essex                    Ma        77   6.32       127   5.77
  23 017 Oxford                   Me        65   5.34       113   5.13
  33 015 Rockingham               NH        63   5.17       134   6.09
  33 001 Belknap                  NH        63   5.17       119   5.41
  33 011 Hillsborough             NH        39   3.20        75   3.41
  23 005 Cumberland               Me        38   3.12        69   3.13
  23 031 York                     Me        36   2.96        67   3.04
  25 021 Norfolk                  Ma        33   2.71        54   2.45
  33 013 Merrimack                NH        32   2.63        53   2.41
  33 007 Coos                     NH        28   2.30        50   2.27
  25 025 Suffolk                  Ma        27   2.22        37   1.68
  33 009 Grafton                  NH        27   2.22        64   2.91
  25 023 Plymouth                 Ma        25   2.05        42   1.91
  25 005 Bristol                  Ma        22   1.81        44   2.00
  09 001 Fairfield                Ct        18   1.48        39   1.77
  44 007 Providence               RI        16   1.31        32   1.45
  25 027 Worcester                Ma        15   1.23        30   1.36
  09 003 Hartford                 Ct        11    .90        15    .68
   Same State                               10    .82        21    .95
   Region 1:   Northeast                   188  15.44       340  15.45
   Region 2:   Midwest                      30   2.46        40   1.82
   Region 3:   South                       111   9.11       195   8.86
   Region 4:   West                         56   4.60        91   4.13
      33 003   County Non-Migrants       14640            30803
33 005   Cheshire Total Migration NH      1594             2847
  33 011 Hillsborough             NH       202  12.67       388  13.63
  50 025 Windham                  Vt       167  10.48       291  10.22
  25 027 Worcester                Ma       108   6.78       201   7.06
  33 019 Sullivan                 NH       102   6.40       193   6.78
  25 017 Middlesex                Ma        58   3.64       106   3.72
  25 011 Franklin                 Ma        38   2.38        55   1.93
  33 015 Rockingham               NH        36   2.26        59   2.07
  09 003 Hartford                 Ct        31   1.94        54   1.90
  33 013 Merrimack                NH        28   1.76        36   1.26
  50 027 Windsor                  Vt        23   1.44        28    .98
  33 009 Grafton                  NH        23   1.44        44   1.55
  33 017 Strafford                NH        21   1.32        36   1.26
  25 013 Hampden                  Ma        21   1.32        42   1.48
  09 009 New Haven                Ct        18   1.13        35   1.23
  23 031 York                     Me        17   1.07        35   1.23
  25 009 Essex                    Ma        17   1.07        24    .84
  09 001 Fairfield                Ct        15    .94        23    .81
  50 007 Chittenden               Vt        13    .82        18    .63
  57 001 Foreign / Overseas       FR        13    .82        26    .91
  25 015 Hampshire                Ma        13    .82        16    .56
  09 011 New London               Ct        12    .75        16    .56
  33 001 Belknap                  NH        12    .75        21    .74
  36 061 New York                 NY        12    .75        17    .60
  57 005 APO / FPO Zip Code       FR        11    .69        19    .67
  25 021 Norfolk                  Ma        11    .69        15    .53
  12 099 Palm Beach               Fl        11    .69        27    .95
  25 025 Suffolk                  Ma        10    .63        20    .70
   Same State                               17   1.07        26    .91
   Region 1:   Northeast                   256  16.06       456  16.02
   Region 2:   Midwest                      42   2.63        88   3.09
   Region 3:   South                       147   9.22       286  10.05
   Region 4:   West                         89   5.58       146   5.13
      33 005   County Non-Migrants       25189            55502
33 007   Coos Total Migration Flo NH       555             1009
  33 009 Grafton                  NH        72  12.97       137  13.58
  33 011 Hillsborough             NH        43   7.75        71   7.04
  50 009 Essex                    Vt        39   7.03        74   7.33
  33 013 Merrimack                NH        26   4.68        54   5.35
  33 017 Strafford                NH        20   3.60        34   3.37
  33 015 Rockingham               NH        19   3.42        30   2.97
  25 017 Middlesex                Ma        15   2.70        27   2.68
  33 003 Carroll                  NH        15   2.70        20   1.98
  25 009 Essex                    Ma        11   1.98        31   3.07
   Same State                               18   3.24        27   2.68
   Region 1:   Northeast                   151  27.21       250  24.78
   Region 2:   Midwest                      15   2.70        37   3.67
   Region 3:   South                        67  12.07       139  13.78
   Region 4:   West                         33   5.95        57   5.65
   Foreign                                  11   1.98        21   2.08
      33 007   County Non-Migrants       12813            28504
33 009   Grafton Total Migration  NH      2556             4358
  50 027 Windsor                  Vt       192   7.51       326   7.48
  33 013 Merrimack                NH       141   5.52       239   5.48
  25 017 Middlesex                Ma       134   5.24       204   4.68
  33 019 Sullivan                 NH       115   4.50       230   5.28
  57 001 Foreign / Overseas       FR        96   3.76       115   2.64
  33 001 Belknap                  NH        94   3.68       202   4.64
  33 007 Coos                     NH        89   3.48       158   3.63
  33 011 Hillsborough             NH        83   3.25       127   2.91
  50 017 Orange                   Vt        76   2.97       131   3.01
  33 015 Rockingham               NH        70   2.74       109   2.50
  25 021 Norfolk                  Ma        51   2.00        69   1.58
  25 009 Essex                    Ma        45   1.76        65   1.49
  25 025 Suffolk                  Ma        38   1.49        48   1.10
  50 005 Caledonia                Vt        35   1.37        74   1.70
  09 001 Fairfield                Ct        34   1.33        64   1.47
  33 017 Strafford                NH        33   1.29        47   1.08
  36 061 New York                 NY        32   1.25        41    .94
  25 027 Worcester                Ma        32   1.25        60   1.38
  33 003 Carroll                  NH        29   1.13        38    .87
  25 023 Plymouth                 Ma        27   1.06        51   1.17
  09 009 New Haven                Ct        26   1.02        51   1.17
  23 005 Cumberland               Me        24    .94        32    .73
  09 003 Hartford                 Ct        22    .86        34    .78
  50 007 Chittenden               Vt        20    .78        32    .73
  36 119 Westchester              NY        20    .78        26    .60
  44 007 Providence               RI        19    .74        31    .71
  23 031 York                     Me        18    .70        32    .73
  57 005 APO / FPO Zip Code       FR        17    .67        29    .67
  25 005 Bristol                  Ma        16    .63        32    .73
  50 023 Washington               Vt        15    .59        19    .44
  24 031 Montgomery               Md        15    .59        24    .55
  50 025 Windham                  Vt        14    .55        23    .53
  09 011 New London               Ct        14    .55        33    .76
  33 005 Cheshire                 NH        14    .55        36    .83
  25 001 Barnstable               Ma        14    .55        21    .48
  12 103 Pinellas                 Fl        13    .51        22    .50
  36 103 Suffolk                  NY        12    .47        19    .44
  06 037 Los Angeles              Ca        12    .47        23    .53
  50 021 Rutland                  Vt        11    .43        16    .37
  36 047 Kings                    NY        11    .43        12    .28
  42 101 Philadelphia             Pa        10    .39        14    .32
  36 059 Nassau                   NY        10    .39        14    .32
  44 003 Kent                     RI        10    .39        22    .50
   Region 1:   Northeast                   289  11.31       531  12.18
   Region 2:   Midwest                     102   3.99       175   4.02
   Region 3:   South                       214   8.37       384   8.81
   Region 4:   West                        148   5.79       273   6.26
      33 009   County Non-Migrants       26757            57584
33 011   Hillsborough Total Migra NH      8761            16263
  25 017 Middlesex                Ma      1621  18.50      2965  18.23
  33 015 Rockingham               NH      1333  15.22      2244  13.80
  33 013 Merrimack                NH      1136  12.97      2236  13.75
  25 009 Essex                    Ma       350   3.99       622   3.82
  33 005 Cheshire                 NH       233   2.66       441   2.71
  25 027 Worcester                Ma       220   2.51       438   2.69
  25 025 Suffolk                  Ma       176   2.01       285   1.75
  25 021 Norfolk                  Ma       143   1.63       240   1.48
  33 017 Strafford                NH       134   1.53       212   1.30
  57 005 APO / FPO Zip Code       FR       104   1.19       220   1.35
  33 009 Grafton                  NH        88   1.00       135    .83
  33 001 Belknap                  NH        82    .94       144    .89
  09 003 Hartford                 Ct        69    .79       123    .76
  33 019 Sullivan                 NH        66    .75       112    .69
  57 001 Foreign / Overseas       FR        66    .75       134    .82
  33 007 Coos                     NH        58    .66        98    .60
  25 023 Plymouth                 Ma        54    .62        92    .57
  23 005 Cumberland               Me        52    .59        95    .58
  09 001 Fairfield                Ct        47    .54        94    .58
  25 001 Barnstable               Ma        46    .53        76    .47
  25 005 Bristol                  Ma        45    .51        96    .59
  23 031 York                     Me        42    .48        61    .38
  36 061 New York                 NY        39    .45        56    .34
  12 011 Broward                  Fl        38    .43        97    .60
  06 037 Los Angeles              Ca        37    .42        77    .47
  09 009 New Haven                Ct        35    .40        60    .37
  36 103 Suffolk                  NY        33    .38        73    .45
  25 013 Hampden                  Ma        32    .37        55    .34
  33 003 Carroll                  NH        32    .37        50    .31
  06 059 Orange                   Ca        31    .35        60    .37
  44 007 Providence               RI        31    .35        62    .38
  06 073 San Diego                Ca        30    .34        62    .38
  12 103 Pinellas                 Fl        29    .33        57    .35
  09 011 New London               Ct        28    .32        40    .25
  23 019 Penobscot                Me        28    .32        55    .34
  12 099 Palm Beach               Fl        26    .30        52    .32
  51 059 Fairfax                  Va        26    .30        66    .41
  50 007 Chittenden               Vt        25    .29        42    .26
  12 095 Orange                   Fl        25    .29        54    .33
  36 059 Nassau                   NY        23    .26        43    .26
  12 057 Hillsborough             Fl        23    .26        39    .24
  04 013 Maricopa                 Az        21    .24        48    .30
  23 011 Kennebec                 Me        21    .24        42    .26
  17 031 Cook                     Il        20    .23        29    .18
  25 015 Hampshire                Ma        20    .23        32    .20
  53 033 King                     Wa        19    .22        45    .28
  36 055 Monroe                   NY        19    .22        39    .24
  36 119 Westchester              NY        19    .22        33    .20
  12 127 Volusia                  Fl        19    .22        24    .15
  09 013 Tolland                  Ct        18    .21        40    .25
  48 113 Dallas                   Tx        18    .21        43    .26
  37 051 Cumberland               NC        18    .21        45    .28
  23 003 Aroostook                Me        18    .21        32    .20
  50 027 Windsor                  Vt        17    .19        34    .21
  36 081 Queens                   NY        17    .19        29    .18
  25 011 Franklin                 Ma        16    .18        23    .14
  34 039 Union                    NJ        15    .17        22    .14
  15 003 Honolulu                 Hi        15    .17        32    .20
  36 029 Erie                     NY        15    .17        34    .21
  08 041 El Paso                  Co        14    .16        37    .23
  09 005 Litchfield               Ct        14    .16        26    .16
  34 027 Morris                   NJ        14    .16        29    .18
  36 001 Albany                   NY        14    .16        23    .14
  12 025 Dade                     Fl        14    .16        29    .18
  36 067 Onondaga                 NY        14    .16        22    .14
  39 113 Montgomery               Oh        13    .15        33    .20
  34 023 Middlesex                NJ        13    .15        32    .20
  23 001 Androscoggin             Me        13    .15        24    .15
  12 115 Sarasota                 Fl        13    .15        26    .16
  42 003 Allegheny                Pa        13    .15        26    .16
  12 009 Brevard                  Fl        13    .15        29    .18
  09 007 Middlesex                Ct        13    .15        20    .12
  48 201 Harris                   Tx        12    .14        22    .14
  36 091 Saratoga                 NY        12    .14        19    .12
  42 101 Philadelphia             Pa        12    .14        14    .09
  50 021 Rutland                  Vt        12    .14        20    .12
  48 029 Bexar                    Tx        12    .14        30    .18
  09 015 Windham                  Ct        12    .14        26    .16
  51 810 Virginia Beach city      Va        12    .14        27    .17
  50 025 Windham                  Vt        12    .14        27    .17
  06 071 San Bernardino           Ca        12    .14        28    .17
  34 003 Bergen                   NJ        11    .13        22    .14
  24 031 Montgomery               Md        11    .13        18    .11
  44 003 Kent                     RI        11    .13        21    .13
  06 001 Alameda                  Ca        11    .13        24    .15
  12 021 Collier                  Fl        11    .13        15    .09
  34 005 Burlington               NJ        11    .13        22    .14
  12 015 Charlotte                Fl        10    .11        14    .09
  26 125 Oakland                  Mi        10    .11        16    .10
  50 005 Caledonia                Vt        10    .11        14    .09
  36 005 Bronx                    NY        10    .11        16    .10
  06 085 Santa Clara              Ca        10    .11        22    .14
  13 121 Fulton                   Ga        10    .11        15    .09
  42 091 Montgomery               Pa        10    .11        28    .17
  39 035 Cuyahoga                 Oh        10    .11        17    .10
  06 075 San Francisco            Ca        10    .11        16    .10
   Region 1:   Northeast                   369   4.21       694   4.27
   Region 2:   Midwest                     231   2.64       497   3.06
   Region 3:   South                       471   5.38       944   5.80
   Region 4:   West                        190   2.17       390   2.40
      33 011   County Non-Migrants      124405           276154
33 013   Merrimack Total Migratio NH      3276             5997
  33 011 Hillsborough             NH       950  29.00      1787  29.80
  33 001 Belknap                  NH       358  10.93       648  10.81
  33 015 Rockingham               NH       287   8.76       556   9.27
  33 009 Grafton                  NH       126   3.85       194   3.23
  25 017 Middlesex                Ma        96   2.93       155   2.58
  33 019 Sullivan                 NH        73   2.23       128   2.13
  33 017 Strafford                NH        72   2.20       139   2.32
  25 009 Essex                    Ma        51   1.56        95   1.58
  25 025 Suffolk                  Ma        36   1.10        49    .82
  33 007 Coos                     NH        34   1.04        56    .93
  25 021 Norfolk                  Ma        33   1.01        59    .98
  33 005 Cheshire                 NH        31    .95        47    .78
  23 031 York                     Me        30    .92        53    .88
  33 003 Carroll                  NH        30    .92        51    .85
  25 027 Worcester                Ma        27    .82        47    .78
  57 005 APO / FPO Zip Code       FR        26    .79        46    .77
  25 023 Plymouth                 Ma        24    .73        50    .83
  09 003 Hartford                 Ct        23    .70        43    .72
  50 007 Chittenden               Vt        19    .58        39    .65
  23 005 Cumberland               Me        18    .55        31    .52
  09 009 New Haven                Ct        18    .55        27    .45
