12 001   Alachua Total Migration  Fl      6194            10626
  12 031 Duval                    Fl       306   4.94       514   4.84
  12 057 Hillsborough             Fl       234   3.78       328   3.09
  12 083 Marion                   Fl       228   3.68       419   3.94
  12 095 Orange                   Fl       228   3.68       331   3.12
  12 011 Broward                  Fl       197   3.18       291   2.74
  12 025 Dade                     Fl       188   3.04       271   2.55
  12 099 Palm Beach               Fl       149   2.41       224   2.11
  12 103 Pinellas                 Fl       141   2.28       207   1.95
  12 073 Leon                     Fl       130   2.10       202   1.90
  12 075 Levy                     Fl       129   2.08       250   2.35
  12 107 Putnam                   Fl       116   1.87       245   2.31
  12 019 Clay                     Fl       106   1.71       227   2.14
  12 009 Brevard                  Fl       105   1.70       160   1.51
  12 007 Bradford                 Fl       100   1.61       206   1.94
  12 023 Columbia                 Fl        95   1.53       186   1.75
  12 117 Seminole                 Fl        90   1.45       135   1.27
  12 127 Volusia                  Fl        87   1.40       144   1.36
  12 105 Polk                     Fl        68   1.10       119   1.12
  12 041 Gilchrist                Fl        63   1.02       132   1.24
  57 001 Foreign / Overseas       FR        61    .98       101    .95
  12 071 Lee                      Fl        58    .94        80    .75
  13 089 De Kalb                  Ga        58    .94        76    .72
  12 109 St. Johns                Fl        57    .92       100    .94
  12 115 Sarasota                 Fl        51    .82        79    .74
  13 121 Fulton                   Ga        45    .73        75    .71
  57 005 APO / FPO Zip Code       FR        43    .69        63    .59
  12 033 Escambia                 Fl        43    .69        74    .70
  12 017 Citrus                   Fl        39    .63        68    .64
  13 067 Cobb                     Ga        39    .63        65    .61
  17 031 Cook                     Il        38    .61        50    .47
  12 081 Manatee                  Fl        37    .60        67    .63
  48 201 Harris                   Tx        36    .58        62    .58
  06 037 Los Angeles              Ca        35    .57        56    .53
  06 073 San Diego                Ca        35    .57        56    .53
  12 125 Union                    Fl        35    .57        84    .79
  12 021 Collier                  Fl        33    .53        53    .50
  12 069 Lake                     Fl        30    .48        57    .54
  36 061 New York                 NY        27    .44        30    .28
  37 183 Wake                     NC        27    .44        46    .43
  12 101 Pasco                    Fl        26    .42        43    .40
