44 001   Bristol Total Migration  RI      1257             2217
  44 007 Providence               RI       403  32.06       695  31.35
  44 005 Newport                  RI       132  10.50       239  10.78
  25 005 Bristol                  Ma       121   9.63       220   9.92
  44 003 Kent                     RI        67   5.33       112   5.05
  44 009 Washington               RI        30   2.39        52   2.35
  25 017 Middlesex                Ma        23   1.83        28   1.26
  25 021 Norfolk                  Ma        19   1.51        28   1.26
  06 037 Los Angeles              Ca        13   1.03        21    .95
  12 011 Broward                  Fl        13   1.03        26   1.17
  25 025 Suffolk                  Ma        13   1.03        13    .59
  36 061 New York                 NY        11    .88        11    .50
  09 003 Hartford                 Ct        11    .88        19    .86
   Region 1:   Northeast                   137  10.90       256  11.55
   Region 2:   Midwest                      44   3.50       114   5.14
   Region 3:   South                       161  12.81       289  13.04
   Region 4:   West                         48   3.82        68   3.07
   Foreign                                  11    .88        26   1.17
      44 001   County Non-Migrants       17641            39074
44 003   Kent Total Migration Flo RI      4012             7153
  44 007 Providence               RI      1582  39.43      2662  37.22
  44 009 Washington               RI       583  14.53      1132  15.83
  25 005 Bristol                  Ma        77   1.92       143   2.00
  44 005 Newport                  RI        74   1.84       120   1.68
  25 017 Middlesex                Ma        58   1.45        84   1.17
  44 001 Bristol                  RI        45   1.12        77   1.08
  25 021 Norfolk                  Ma        44   1.10        71    .99
  25 025 Suffolk                  Ma        38    .95        48    .67
  25 027 Worcester                Ma        38    .95        64    .89
  12 099 Palm Beach               Fl        36    .90        65    .91
  12 011 Broward                  Fl        32    .80        53    .74
  12 103 Pinellas                 Fl        30    .75        58    .81
  09 011 New London               Ct        30    .75        63    .88
  06 037 Los Angeles              Ca        29    .72        38    .53
  09 003 Hartford                 Ct        24    .60        36    .50
  57 005 APO / FPO Zip Code       FR        23    .57        36    .50
  36 061 New York                 NY        22    .55        25    .35
  12 127 Volusia                  Fl        21    .52        42    .59
  09 009 New Haven                Ct        21    .52        37    .52
  12 095 Orange                   Fl        19    .47        35    .49
  12 071 Lee                      Fl        19    .47        36    .50
  12 009 Brevard                  Fl        18    .45        32    .45
  09 015 Windham                  Ct        18    .45        39    .55
  06 073 San Diego                Ca        16    .40        23    .32
  57 001 Foreign / Overseas       FR        16    .40        42    .59
  09 001 Fairfield                Ct        16    .40        24    .34
  32 003 Clark                    Nv        15    .37        23    .32
  25 009 Essex                    Ma        14    .35        18    .25
  12 057 Hillsborough             Fl        13    .32        29    .41
  48 201 Harris                   Tx        13    .32        21    .29
  25 023 Plymouth                 Ma        13    .32        27    .38
  12 105 Polk                     Fl        12    .30        32    .45
  51 810 Virginia Beach city      Va        12    .30        24    .34
  25 001 Barnstable               Ma        12    .30        17    .24
  12 101 Pasco                    Fl        12    .30        31    .43
  04 013 Maricopa                 Az        11    .27        23    .32
  33 011 Hillsborough             NH        11    .27        21    .29
  12 015 Charlotte                Fl        11    .27        19    .27
  25 013 Hampden                  Ma        11    .27        26    .36
